outcome,feature,mean_standardized_coef,sd_across_folds,sign_stability
benefit_adapt,kl_source_to_target,-9.865154751919473e-07,0.0008014595154130651,0.09090909090909091
benefit_adapt,kl_target_to_source,0.00010560344427471124,0.00043062404964828104,0.18181818181818182
benefit_adapt,wasserstein_precip,-0.0008661311178799759,0.002868882630263855,0.36363636363636365
benefit_adapt,mmd_rbf_precip,0.0007458571879686827,0.0016215003619102855,0.9090909090909091
benefit_adapt,shift_mean_abs,0.001501606266436802,0.004693046639956779,0.45454545454545453
benefit_adapt,shift_variance_abs,-0.0017940997877462868,0.005713638616105652,0.7272727272727273
benefit_adapt,shift_wet_fraction_abs,0.0009579392442860341,0.002510481232515596,0.9090909090909091
benefit_adapt,shift_p95_abs,-0.001843605290733538,0.005828912549005797,0.7272727272727273
benefit_adapt,shift_p99_abs,0.000845493074664254,0.0026550052545459227,0.18181818181818182
benefit_adapt,shift_monthly_l2,-0.0006561555459294929,0.0020359426347382192,0.9090909090909091
benefit_adapt,region_centroid_distance_deg,0.0004134382031865495,0.0013305551160719355,0.36363636363636365
benefit_adapt,phys_source_wet_day_fraction_gt1mm,0.0027780698608717864,0.006518586348145275,1.0
benefit_adapt,phys_target_wet_day_fraction_gt1mm,0.0003161924535961475,0.0022503131773988186,0.09090909090909091
benefit_adapt,phys_delta_wet_day_fraction_gt1mm,-0.0016475539011062397,0.002845569111196265,1.0
benefit_adapt,phys_abs_delta_wet_day_fraction_gt1mm,0.0011377757676352877,0.0030792229574739733,0.9090909090909091
benefit_adapt,phys_source_wet_day_mean_intensity,0.0005112406608583722,0.0013716927383673452,1.0
benefit_adapt,phys_target_wet_day_mean_intensity,-0.0005464274229470641,0.0013760237457062453,0.9090909090909091
benefit_adapt,phys_delta_wet_day_mean_intensity,-0.0007155499883476573,0.001845175812564519,0.9090909090909091
benefit_adapt,phys_abs_delta_wet_day_mean_intensity,-0.0007061544733465625,0.002528263418173842,0.09090909090909091
benefit_adapt,phys_source_daily_precip_cv,-0.0007154579942848043,0.00031879192855444467,1.0
benefit_adapt,phys_target_daily_precip_cv,0.0006933064315223501,0.0009916388947977292,1.0
benefit_adapt,phys_delta_daily_precip_cv,0.0009551089232735789,0.00080545578500302,1.0
benefit_adapt,phys_abs_delta_daily_precip_cv,-0.0028738877567505232,0.009335207079309248,0.18181818181818182
benefit_adapt,phys_source_monthly_climatology_amplitude,-0.003041182221976166,0.010300899489815125,0.09090909090909091
benefit_adapt,phys_target_monthly_climatology_amplitude,-0.0010215992462409074,0.002780240004389988,0.9090909090909091
benefit_adapt,phys_delta_monthly_climatology_amplitude,0.0012687770811419523,0.004858907069016593,0.09090909090909091
benefit_adapt,phys_abs_delta_monthly_climatology_amplitude,0.0013105332755071646,0.003989313573752896,0.9090909090909091
benefit_adapt,phys_source_top3_month_precip_fraction,0.001961768264085372,0.007263683774919615,0.09090909090909091
benefit_adapt,phys_target_top3_month_precip_fraction,0.001856383863698364,0.004819982068161701,1.0
benefit_adapt,phys_delta_top3_month_precip_fraction,-2.807019113296908e-06,0.001445009913949973,0.09090909090909091
benefit_adapt,phys_abs_delta_top3_month_precip_fraction,0.0009149405643401145,0.0021247293228083947,1.0
benefit_adapt,phys_source_occurrence_lag1_autocorr,-0.0005380909628473631,0.001288063286994104,1.0
benefit_adapt,phys_target_occurrence_lag1_autocorr,-0.0011754360224983215,0.003161302958129014,1.0
benefit_adapt,phys_delta_occurrence_lag1_autocorr,-0.00042846868987693183,0.0012623745079615666,0.8181818181818182
benefit_adapt,phys_abs_delta_occurrence_lag1_autocorr,0.0005799188094373979,0.0011339262173878436,1.0
benefit_adapt,phys_source_wet_intensity_lag1_autocorr,-0.00024784675102082634,0.0006603270683606891,1.0
benefit_adapt,phys_target_wet_intensity_lag1_autocorr,0.0002786271131063628,0.0008577673887203624,0.6363636363636364
benefit_adapt,phys_delta_wet_intensity_lag1_autocorr,0.000355139380672264,0.0010211583924128016,0.9090909090909091
benefit_adapt,phys_abs_delta_wet_intensity_lag1_autocorr,0.0009279898113337009,0.0015212329266698567,1.0
benefit_adapt,phys_source_dry_spell_mean_days,-0.0010602499586356692,0.001165360527967008,1.0
benefit_adapt,phys_target_dry_spell_mean_days,0.0003745238957222207,0.0002661925936465679,0.9090909090909091
benefit_adapt,phys_delta_dry_spell_mean_days,0.0009628093459951727,0.0006733079455355027,1.0
benefit_adapt,phys_abs_delta_dry_spell_mean_days,-0.0005875322112241176,0.001968648775927491,0.18181818181818182
benefit_adapt,phys_source_dry_spell_p95_days,-0.0008829945738843254,0.0007231927482958971,1.0
benefit_adapt,phys_target_dry_spell_p95_days,0.0004318701713020186,0.0001684282107344341,1.0
benefit_adapt,phys_delta_dry_spell_p95_days,0.0008842356392212408,0.0005187089838231305,1.0
benefit_adapt,phys_abs_delta_dry_spell_p95_days,0.0015555841126617296,0.0048717065123725575,0.9090909090909091
benefit_adapt,phys_source_wet_day_p95,0.0006488220108739486,0.0018092673109162821,1.0
benefit_adapt,phys_target_wet_day_p95,-0.00023217241596777257,0.00039307397655473006,0.9090909090909091
benefit_adapt,phys_delta_wet_day_p95,-0.0005898068707797916,0.0014449567199383406,0.9090909090909091
benefit_adapt,phys_abs_delta_wet_day_p95,-0.00013854414969584255,0.0007149924378224874,0.18181818181818182
benefit_adapt,phys_source_wet_day_p99,0.0004626581968694514,0.001222370778071883,1.0
benefit_adapt,phys_target_wet_day_p99,-0.00022563189134032407,0.00032799026469147995,0.9090909090909091
benefit_adapt,phys_delta_wet_day_p99,-0.0004625906257124149,0.001014221870199407,0.9090909090909091
benefit_adapt,phys_abs_delta_wet_day_p99,0.0032298011072882248,0.009943658987992472,0.9090909090909091
benefit_adapt,phys_source_extreme_tail_ratio_p99_p95,0.0002748586674853402,0.0011861320428482218,0.09090909090909091
benefit_adapt,phys_target_extreme_tail_ratio_p99_p95,-0.0001581598801750487,0.00016219758116792964,0.9090909090909091
benefit_adapt,phys_delta_extreme_tail_ratio_p99_p95,-0.0002838463525679844,0.0007024090007599755,0.9090909090909091
benefit_adapt,phys_abs_delta_extreme_tail_ratio_p99_p95,-0.0001539661059996073,7.964346314311064e-05,1.0
benefit_adapt,model_graphwavenet_transfer,-7.48765958823584e-05,8.968347898910336e-05,0.9090909090909091
benefit_adapt,model_patchtst_small,-0.000114888219634655,0.00012067462926506916,0.9090909090909091
benefit_adapt,model_spatial_knn_ridge,0.00018976481551667509,0.00020739255667396282,0.9090909090909091
benefit_retrain,kl_source_to_target,-0.0013222151655423728,0.002705642770677848,0.36363636363636365
benefit_retrain,kl_target_to_source,0.0008395793872954055,0.0019292105740167796,0.2727272727272727
benefit_retrain,wasserstein_precip,-0.004478102395844625,0.008656643750294072,0.9090909090909091
benefit_retrain,mmd_rbf_precip,0.003298944817376778,0.004823481207968148,0.9090909090909091
benefit_retrain,shift_mean_abs,0.004761398515975107,0.009750895461220805,0.45454545454545453
benefit_retrain,shift_variance_abs,-0.0035074400780574296,0.006576834538004587,1.0
benefit_retrain,shift_wet_fraction_abs,0.0024318904497682577,0.0038462743905204335,0.9090909090909091
benefit_retrain,shift_p95_abs,-0.008036238562397284,0.01610861319302787,0.8181818181818182
benefit_retrain,shift_p99_abs,0.003129629281279825,0.009440184985172888,0.18181818181818182
benefit_retrain,shift_monthly_l2,-0.0024177598120214347,0.004191947657655964,1.0
benefit_retrain,region_centroid_distance_deg,0.0022653299124187403,0.0033791172624791795,0.8181818181818182
benefit_retrain,phys_source_wet_day_fraction_gt1mm,0.010052478672141882,0.016243150105194653,1.0
benefit_retrain,phys_target_wet_day_fraction_gt1mm,0.0004865497988955506,0.00268223976378005,0.18181818181818182
benefit_retrain,phys_delta_wet_day_fraction_gt1mm,-0.006325207824815429,0.010118179434635517,1.0
benefit_retrain,phys_abs_delta_wet_day_fraction_gt1mm,0.003182134346257102,0.0053940048986747735,0.9090909090909091
benefit_retrain,phys_source_wet_day_mean_intensity,-0.00024755951976966514,0.0013398085192382664,0.18181818181818182
benefit_retrain,phys_target_wet_day_mean_intensity,-0.0017111320426374842,0.0062308397632281475,0.5454545454545454
benefit_retrain,phys_delta_wet_day_mean_intensity,-0.0010341514469843283,0.004361628654220603,0.8181818181818182
benefit_retrain,phys_abs_delta_wet_day_mean_intensity,-0.0015115311100893079,0.005985950955250237,0.18181818181818182
benefit_retrain,phys_source_daily_precip_cv,0.0001231342102095967,0.0025056249635307193,0.09090909090909091
benefit_retrain,phys_target_daily_precip_cv,0.0014870008386300637,0.006045096424192683,0.8181818181818182
benefit_retrain,phys_delta_daily_precip_cv,0.0009409714176850704,0.0050389531309027475,0.8181818181818182
benefit_retrain,phys_abs_delta_daily_precip_cv,-0.008567916237196785,0.014951310558788754,0.36363636363636365
benefit_retrain,phys_source_monthly_climatology_amplitude,-0.010596943706363385,0.020424458467300385,0.36363636363636365
benefit_retrain,phys_target_monthly_climatology_amplitude,0.00240583127763933,0.005089533744557813,0.2727272727272727
benefit_retrain,phys_delta_monthly_climatology_amplitude,0.008377976469711234,0.01584826514894172,0.36363636363636365
benefit_retrain,phys_abs_delta_monthly_climatology_amplitude,0.004268507289163879,0.007198001063053186,0.36363636363636365
benefit_retrain,phys_source_top3_month_precip_fraction,0.006893751114567872,0.01263425948033973,0.2727272727272727
benefit_retrain,phys_target_top3_month_precip_fraction,0.004508385134318395,0.013557308501432075,0.9090909090909091
benefit_retrain,phys_delta_top3_month_precip_fraction,-0.0016614499498965867,0.0075176113098457484,0.09090909090909091
benefit_retrain,phys_abs_delta_top3_month_precip_fraction,0.0011644289119759905,0.0014800878128952125,1.0
benefit_retrain,phys_source_occurrence_lag1_autocorr,-0.002429045226618781,0.003980636086390433,1.0
benefit_retrain,phys_target_occurrence_lag1_autocorr,-0.007706262749650808,0.011367634389736106,1.0
benefit_retrain,phys_delta_occurrence_lag1_autocorr,-0.0034047491511235125,0.005148640442258138,1.0
benefit_retrain,phys_abs_delta_occurrence_lag1_autocorr,0.005038482099852775,0.0065372297431446165,1.0
