target_region,policy,budget_curve_auc,oracle_auc,excess_auc_vs_oracle
CNA,action_value,2.2580290778376146,2.2491840116445183,0.00884506619309633
CNA,distance,2.262807547476756,2.2491840116445183,0.013623535832237632
CNA,kl_source_target,2.262276137899731,2.2491840116445183,0.013092126255212833
CNA,mean_shift,2.2677671614362884,2.2491840116445183,0.018583149791770115
CNA,mmd,2.2646628052583,2.2491840116445183,0.015478793613781683
CNA,oracle,2.2491840116445183,2.2491840116445183,0.0
CNA,random_expected,2.265380644471678,2.2491840116445183,0.016196632827159885
CNA,wasserstein,2.2657291276951734,2.2491840116445183,0.016545116050655118
EAS,action_value,6.4525266444834575,6.444942561563975,0.007584082919482427
EAS,distance,6.454532404715016,6.444942561563975,0.009589843151040611
EAS,kl_source_target,6.465890729949389,6.444942561563975,0.0209481683854138
EAS,mean_shift,6.457522242043609,6.444942561563975,0.012579680479634092
EAS,mmd,6.456152127816881,6.444942561563975,0.011209566252905923
EAS,oracle,6.444942561563975,6.444942561563975,0.0
EAS,random_expected,6.457579777963234,6.444942561563975,0.012637216399259188
EAS,wasserstein,6.4588178149462925,6.444942561563975,0.013875253382317432
EAU,action_value,2.4873132993310874,2.4853352893059957,0.001978010025091681
EAU,distance,2.488620410623764,2.4853352893059957,0.003285121317768258
EAU,kl_source_target,2.4892854760434897,2.4853352893059957,0.0039501867374940325
EAU,mean_shift,2.488610279813262,2.4853352893059957,0.0032749905072662067
EAU,mmd,2.489145548098038,2.4853352893059957,0.0038102587920421094
EAU,oracle,2.4853352893059957,2.4853352893059957,0.0
EAU,random_expected,2.4887429846025606,2.4853352893059957,0.0034076952965649276
EAU,wasserstein,2.4890124467685824,2.4853352893059957,0.0036771574625866776
ENA,action_value,3.087328306594482,3.0764268356679767,0.010901470926505397
ENA,distance,3.093006705079243,3.0764268356679767,0.016579869411266213
ENA,kl_source_target,3.095535351826814,3.0764268356679767,0.01910851615883713
ENA,mean_shift,3.0976691461466923,3.0764268356679767,0.02124231047871561
ENA,mmd,3.099065725021906,3.0764268356679767,0.022638889353929326
ENA,oracle,3.0764268356679767,3.0764268356679767,0.0
ENA,random_expected,3.0975630757300183,3.0764268356679767,0.021136240062041622
ENA,wasserstein,3.096091008407343,3.0764268356679767,0.019664172739366492
MED,action_value,1.8042165366384162,1.8006701719159453,0.0035463647224709405
MED,distance,1.8052500833543013,1.8006701719159453,0.00457991143835601
MED,kl_source_target,1.8058757639045775,1.8006701719159453,0.005205591988632241
MED,mean_shift,1.8056183604114662,1.8006701719159453,0.004948188495520922
MED,mmd,1.806280662281765,1.8006701719159453,0.005610490365819842
MED,oracle,1.8006701719159453,1.8006701719159453,0.0
MED,random_expected,1.8048408398919593,1.8006701719159453,0.004170667976014064
MED,wasserstein,1.8053940717818702,1.8006701719159453,0.004723899865924919
NCA,action_value,1.0188786540209374,1.0168730636017138,0.0020055904192235463
NCA,distance,1.0177724901339755,1.0168730636017138,0.0008994265322617156
NCA,kl_source_target,1.0176756278975572,1.0168730636017138,0.0008025642958433554
NCA,mean_shift,1.0185583943906136,1.0168730636017138,0.0016853307888997637
NCA,mmd,1.0178477291320425,1.0168730636017138,0.0009746655303286555
NCA,oracle,1.0168730636017138,1.0168730636017138,0.0
NCA,random_expected,1.0183311458332116,1.0168730636017138,0.0014580822314977926
NCA,wasserstein,1.0184444259282472,1.0168730636017138,0.001571362326533432
NEU,action_value,2.3784651149967666,2.376024627222553,0.0024404877742134623
NEU,distance,2.3803301315242242,2.376024627222553,0.0043055043016710925
NEU,kl_source_target,2.3789744724076285,2.376024627222553,0.0029498451850753504
NEU,mean_shift,2.379228099214774,2.376024627222553,0.00320347199222093
NEU,mmd,2.37855202200746,2.376024627222553,0.0025273947849067113
NEU,oracle,2.376024627222553,2.376024627222553,0.0
NEU,random_expected,2.3800730511645476,2.376024627222553,0.00404842394199445
NEU,wasserstein,2.3784482626889343,2.376024627222553,0.0024236354663811355
NWN,action_value,2.41233029169344,2.405379116570209,0.006951175123230957
NWN,distance,2.421492804620947,2.405379116570209,0.016113688050737984
NWN,kl_source_target,2.4168012251318234,2.405379116570209,0.011422108561614408
NWN,mean_shift,2.415200281647511,2.405379116570209,0.00982116507730213
NWN,mmd,2.413140048591754,2.405379116570209,0.007760932021545042
NWN,oracle,2.405379116570209,2.405379116570209,0.0
NWN,random_expected,2.4173448057936846,2.405379116570209,0.011965689223475628
NWN,wasserstein,2.4173828207992614,2.405379116570209,0.012003704229052392
SAU,action_value,1.726744824026896,1.7254416048652754,0.0013032191616206834
SAU,distance,1.7272222508372355,1.7254416048652754,0.0017806459719600376
SAU,kl_source_target,1.7271161340662533,1.7254416048652754,0.0016745292009778812
SAU,mean_shift,1.727662739325573,1.7254416048652754,0.0022211344602975913
SAU,mmd,1.727125607525656,1.7254416048652754,0.0016840026603806013
SAU,oracle,1.7254416048652754,1.7254416048652754,0.0
SAU,random_expected,1.7274865375653066,1.7254416048652754,0.0020449327000311435
SAU,wasserstein,1.7274307599116767,1.7254416048652754,0.001989155046401292
WCE,action_value,2.2968977701193545,2.2953762527238943,0.0015215173954601369
WCE,distance,2.298152408539095,2.2953762527238943,0.0027761558152006316
WCE,kl_source_target,2.2971691145605933,2.2953762527238943,0.0017928618366989113
WCE,mean_shift,2.297762465903964,2.2953762527238943,0.0023862131800695963
