budget,action_value_mean_mae,random_mean_mae,random_equivalent_budget,capacity_equivalent_saving,saving_ci95_low,saving_ci95_high,relative_saving_vs_policy_budget,targets_action_better_than_random,targets_total,mmd_mean_mae,mmd_equivalent_budget,mmd_capacity_equivalent_saving,targets_action_better_than_mmd
5,2.555865418224983,2.5593337750619445,9.05333341092199,4.053333410921989,3.0218856336381434,5.701291565732613,0.8106666821843979,10,11,2.5571941309514807,7.162119961566695,2.1621199615666953,7
10,2.5501428150933974,2.5550553744403524,15.74111657772614,5.741116577726141,4.001297579344452,7.88080827006408,0.5741116577726141,10,11,2.552503807572559,14.40246708130398,4.40246708130398,6
15,2.545210528379007,2.55077697381876,21.50528776064157,6.505287760641569,5.053083521886367,8.37401008027672,0.43368585070943794,10,11,2.549166379650099,21.624166298314055,6.624166298314055,10
20,2.542084994754185,2.5464985731971685,25.157977049542346,5.157977049542347,4.068238002062773,6.632350110677818,0.25789885247711736,10,11,2.5465179361574264,25.69362091344962,5.693620913449621,8
25,2.539221896509053,2.5422201725755764,28.503968342038604,3.503968342038605,2.107511278854684,4.824647103111692,0.1401587336815442,10,11,2.542508223198709,29.418300529040536,4.418300529040536,7
