model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
graphwavenet_transfer,MED,WCE,deploy,deploy,2.2737972736358643,1000,1062605,0.0,0,44.23583289999806
graphwavenet_transfer,MED,WCE,adapt,head_finetune,2.2611632347106934,1000,1062605,9.971606599996448,699,44.23583289999806
graphwavenet_transfer,MED,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,44.23583289999806
graphwavenet_transfer,EAU,WCE,deploy,deploy,2.2842280864715576,1000,1062605,0.0,0,35.01449030000367
graphwavenet_transfer,EAU,WCE,adapt,head_finetune,2.2663662433624268,1000,1062605,9.973832799994852,699,35.01449030000367
graphwavenet_transfer,EAU,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,35.01449030000367
graphwavenet_transfer,NWN,WCE,deploy,deploy,2.319748640060425,1000,1062605,0.0,0,24.668718300003093
graphwavenet_transfer,NWN,WCE,adapt,head_finetune,2.2610418796539307,1000,1062605,9.969115999992937,699,24.668718300003093
graphwavenet_transfer,NWN,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,24.668718300003093
graphwavenet_transfer,NCA,WCE,deploy,deploy,2.30839204788208,1000,1062605,0.0,0,17.059663000007276
graphwavenet_transfer,NCA,WCE,adapt,head_finetune,2.2858164310455322,1000,1062605,9.978685499998392,699,17.059663000007276
graphwavenet_transfer,NCA,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,17.059663000007276
graphwavenet_transfer,EAS,WCE,deploy,deploy,2.281761646270752,1000,1062605,0.0,0,9.521896299993386
graphwavenet_transfer,EAS,WCE,adapt,head_finetune,2.2627737522125244,1000,1062605,9.973116200009827,699,9.521896299993386
graphwavenet_transfer,EAS,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,9.521896299993386
graphwavenet_transfer,NEU,WNA,deploy,deploy,2.0518016815185547,975,1033901,0.0,0,119.71575510001276
graphwavenet_transfer,NEU,WNA,adapt,head_finetune,2.023162841796875,975,1033901,9.854504199989606,699,119.71575510001276
graphwavenet_transfer,NEU,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,119.71575510001276
graphwavenet_transfer,WCE,WNA,deploy,deploy,2.0818185806274414,975,1033901,0.0,0,142.56140950000554
graphwavenet_transfer,WCE,WNA,adapt,head_finetune,2.032327175140381,975,1033901,9.860666399996262,699,142.56140950000554
graphwavenet_transfer,WCE,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,142.56140950000554
graphwavenet_transfer,ENA,WNA,deploy,deploy,2.0697689056396484,975,1033901,0.0,0,90.24955379999301
graphwavenet_transfer,ENA,WNA,adapt,head_finetune,2.016552448272705,975,1033901,9.871552700002212,699,90.24955379999301
graphwavenet_transfer,ENA,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,90.24955379999301
graphwavenet_transfer,CNA,WNA,deploy,deploy,2.099088191986084,975,1033901,0.0,0,72.37994899999467
graphwavenet_transfer,CNA,WNA,adapt,head_finetune,2.051619052886963,975,1033901,9.89497229999688,699,72.37994899999467
graphwavenet_transfer,CNA,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,72.37994899999467
graphwavenet_transfer,SAU,WNA,deploy,deploy,2.0482170581817627,975,1033901,0.0,0,56.65577630000189
graphwavenet_transfer,SAU,WNA,adapt,head_finetune,2.0151937007904053,975,1033901,9.868282499999623,699,56.65577630000189
graphwavenet_transfer,SAU,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,56.65577630000189
graphwavenet_transfer,MED,WNA,deploy,deploy,2.029726028442383,975,1033901,0.0,0,44.23583289999806
graphwavenet_transfer,MED,WNA,adapt,head_finetune,2.013249158859253,975,1033901,9.870651099990937,699,44.23583289999806
graphwavenet_transfer,MED,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,44.23583289999806
graphwavenet_transfer,EAU,WNA,deploy,deploy,2.0335798263549805,975,1033901,0.0,0,35.01449030000367
graphwavenet_transfer,EAU,WNA,adapt,head_finetune,2.023085832595825,975,1033901,9.86454579999554,699,35.01449030000367
graphwavenet_transfer,EAU,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,35.01449030000367
graphwavenet_transfer,NWN,WNA,deploy,deploy,1.997520089149475,975,1033901,0.0,0,24.668718300003093
graphwavenet_transfer,NWN,WNA,adapt,head_finetune,1.9947681427001953,975,1033901,9.875286599999527,699,24.668718300003093
graphwavenet_transfer,NWN,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,24.668718300003093
graphwavenet_transfer,NCA,WNA,deploy,deploy,2.0547525882720947,975,1033901,0.0,0,17.059663000007276
graphwavenet_transfer,NCA,WNA,adapt,head_finetune,2.053194999694824,975,1033901,9.870014100000844,699,17.059663000007276
graphwavenet_transfer,NCA,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,17.059663000007276
graphwavenet_transfer,EAS,WNA,deploy,deploy,2.0310726165771484,975,1033901,0.0,0,9.521896299993386
graphwavenet_transfer,EAS,WNA,adapt,head_finetune,2.0205235481262207,975,1033901,9.857759099992109,699,9.521896299993386
graphwavenet_transfer,EAS,WNA,retrain,retrain,1.9843186140060425,975,1033901,189.67070129999775,2891,9.521896299993386
graphwavenet_transfer,NEU,ENA,deploy,deploy,3.089829206466675,522,550452,0.0,0,119.71575510001276
graphwavenet_transfer,NEU,ENA,adapt,head_finetune,3.0600292682647705,522,550452,4.697668699998758,699,119.71575510001276
graphwavenet_transfer,NEU,ENA,retrain,retrain,2.8372068405151367,522,550452,90.24955379999301,2891,119.71575510001276
graphwavenet_transfer,WCE,ENA,deploy,deploy,3.0754096508026123,522,550452,0.0,0,142.56140950000554
graphwavenet_transfer,WCE,ENA,adapt,head_finetune,3.0601532459259033,522,550452,4.695335700002033,699,142.56140950000554
graphwavenet_transfer,WCE,ENA,retrain,retrain,2.8372068405151367,522,550452,90.24955379999301,2891,142.56140950000554
graphwavenet_transfer,WNA,ENA,deploy,deploy,3.07401442527771,522,550452,0.0,0,189.67070129999775
graphwavenet_transfer,WNA,ENA,adapt,head_finetune,3.0092952251434326,522,550452,4.704954100001487,699,189.67070129999775
graphwavenet_transfer,WNA,ENA,retrain,retrain,2.8372068405151367,522,550452,90.24955379999301,2891,189.67070129999775
graphwavenet_transfer,CNA,ENA,deploy,deploy,2.8788001537323,522,550452,0.0,0,72.37994899999467
graphwavenet_transfer,CNA,ENA,adapt,head_finetune,2.8571577072143555,522,550452,4.75015419999545,699,72.37994899999467
graphwavenet_transfer,CNA,ENA,retrain,retrain,2.8372068405151367,522,550452,90.24955379999301,2891,72.37994899999467
graphwavenet_transfer,SAU,ENA,deploy,deploy,3.0701236724853516,522,550452,0.0,0,56.65577630000189
graphwavenet_transfer,SAU,ENA,adapt,head_finetune,3.058608293533325,522,550452,4.710935900002369,699,56.65577630000189
graphwavenet_transfer,SAU,ENA,retrain,retrain,2.8372068405151367,522,550452,90.24955379999301,2891,56.65577630000189
graphwavenet_transfer,MED,ENA,deploy,deploy,3.0887889862060547,522,550452,0.0,0,44.23583289999806
graphwavenet_transfer,MED,ENA,adapt,head_finetune,3.057300567626953,522,550452,4.709222400008002,699,44.23583289999806
graphwavenet_transfer,MED,ENA,retrain,retrain,2.8372068405151367,522,550452,90.24955379999301,2891,44.23583289999806
graphwavenet_transfer,EAU,ENA,deploy,deploy,3.0936226844787598,522,550452,0.0,0,35.01449030000367
