target_region,mean_auc_gain_vs_random,random_mae_gain_per_retraining,target_capacity_equivalent,action_better_auc
CNA,0.007351566634063699,0.0019277544671179184,3.813538891731699,True
EAS,0.005053133479777191,0.0012623865291325606,4.002841731248046,True
EAU,0.0014296852714734186,7.329528537310577e-05,19.505828569950733,True
ENA,0.010234769135536326,0.002323220437919889,4.4054231653971225,True
MED,0.0006243032535429733,0.00010862341428271952,5.747409595486185,True
NCA,-0.0005475081877257752,0.00019866274324831975,-2.755968123531919,False
NEU,0.001607936167781346,0.0003854734016789448,4.17132845165948,True
NWN,0.005014514100244485,0.002000738263998721,2.506331882823275,True
SAU,0.0007417135384104171,0.0002158145772086358,3.436809264711418,True
WCE,0.001213646834448249,2.95564107100225e-05,41.06205067845754,True
WNA,0.0052486361749648274,0.0008869558368313158,5.917584570744564,True
