model,source_region,target_region,action,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,adapt_intercept_log1p,adapt_slope_log1p,source_training_seconds_sunk
spatial_knn_ridge,NEU,WCE,deploy,2.397602029681206,1000,1092580,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,WCE,adapt,2.3733843129873278,1000,1092580,0.0019982000085292384,60000,0.02080059051513672,0.886833906173706,0.5056327000056626
spatial_knn_ridge,NEU,WCE,retrain,2.386439118385315,1000,1092580,0.46817760000703856,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,WNA,deploy,2.3369611476017877,975,1063046,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,WNA,adapt,2.2200152686314705,975,1063046,0.0016830000095069408,60000,-0.29989755153656006,1.3275645971298218,0.5056327000056626
spatial_knn_ridge,NEU,WNA,retrain,2.2216148833128124,975,1063046,0.46404969999275636,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,ENA,deploy,3.347433947055276,522,565907,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,ENA,adapt,3.3354357768749368,522,565907,0.0016754000098444521,60000,0.1322762370109558,0.7693502306938171,0.5056327000056626
spatial_knn_ridge,NEU,ENA,retrain,3.3073838761939856,522,565907,0.3404669000010472,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,CNA,deploy,2.577561557837273,438,475057,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,CNA,adapt,2.4508137142277198,438,475057,0.0017735000001266599,60000,-0.0710652768611908,0.8914839625358582,0.5056327000056626
spatial_knn_ridge,NEU,CNA,retrain,2.417191463382277,438,475057,0.32375900000624824,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,SAU,deploy,1.9343646093990727,351,379054,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,SAU,adapt,1.8277495421914973,351,379054,0.0015947999927448109,60000,-0.084998220205307,0.924724817276001,0.5056327000056626
spatial_knn_ridge,NEU,SAU,retrain,1.8284593691513409,351,379054,0.312544300002628,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,MED,deploy,2.0673187158820108,328,357580,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,MED,adapt,1.924552284181118,328,357580,0.001628900005016476,60000,-0.25358879566192627,1.1920384168624878,0.5056327000056626
spatial_knn_ridge,NEU,MED,retrain,1.9147385309745626,328,357580,0.29117200001201127,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,EAU,deploy,2.7447736327578913,241,260224,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,EAU,adapt,2.620953343715905,241,260224,0.0019437000009929761,60000,-0.17069882154464722,1.0561091899871826,0.5056327000056626
spatial_knn_ridge,NEU,EAU,retrain,2.633165822978831,241,260224,0.26200169998628553,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,NWN,deploy,2.6393143612830365,183,191293,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,NWN,adapt,2.514903786729594,183,191293,0.0013658999960171059,60000,-0.4015722870826721,1.5493338108062744,0.5056327000056626
spatial_knn_ridge,NEU,NWN,retrain,2.508383575032969,183,191293,0.24159599999256898,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,NCA,deploy,1.4041563032401934,144,154432,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,NCA,adapt,1.1247435123142269,144,154432,0.001450199997634627,60000,-0.34108516573905945,1.169796109199524,0.5056327000056626
spatial_knn_ridge,NEU,NCA,retrain,1.1164610642525885,144,154432,0.24943950001033954,120000,,,0.5056327000056626
spatial_knn_ridge,NEU,EAS,deploy,6.525698861208829,110,113134,0.0,0,,,0.5056327000056626
spatial_knn_ridge,NEU,EAS,adapt,6.515297920053656,110,113134,0.0014764000079594553,60000,-0.10986816883087158,1.2186917066574097,0.5056327000056626
spatial_knn_ridge,NEU,EAS,retrain,6.499321603775025,110,113134,0.22575959999812767,120000,,,0.5056327000056626
spatial_knn_ridge,WCE,NEU,deploy,2.463074646413326,1000,1092528,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,NEU,adapt,2.461538854956627,1000,1092528,0.001642799994442612,60000,-0.08830320835113525,1.184204339981079,0.46817760000703856
spatial_knn_ridge,WCE,NEU,retrain,2.46648766708374,1000,1092528,0.5056327000056626,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,WNA,deploy,2.3432575275347785,975,1063046,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,WNA,adapt,2.2185442758829166,975,1063046,0.0018757000070763752,60000,-0.3943136930465698,1.54657781124115,0.46817760000703856
spatial_knn_ridge,WCE,WNA,retrain,2.2216148833128124,975,1063046,0.46404969999275636,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,ENA,deploy,3.317275675320534,522,565907,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,ENA,adapt,3.329698740294153,522,565907,0.001559700001962483,60000,0.0659334659576416,0.9133601784706116,0.46817760000703856
spatial_knn_ridge,WCE,ENA,retrain,3.3073838761939856,522,565907,0.3404669000010472,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,CNA,deploy,2.5534622315402444,438,475057,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,CNA,adapt,2.4408415524654736,438,475057,0.0016149000002769753,60000,-0.13959196209907532,1.0381863117218018,0.46817760000703856
spatial_knn_ridge,WCE,CNA,retrain,2.417191463382277,438,475057,0.32375900000624824,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,SAU,deploy,1.917719764417393,351,379054,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,SAU,adapt,1.8280754912952413,351,379054,0.001711699995212257,60000,-0.1556444764137268,1.0936412811279297,0.46817760000703856
spatial_knn_ridge,WCE,SAU,retrain,1.8284593691513409,351,379054,0.312544300002628,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,MED,deploy,2.0548135681850153,328,357580,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,MED,adapt,1.9215631671249866,328,357580,0.0018888999911723658,60000,-0.33764874935150146,1.3915287256240845,0.46817760000703856
spatial_knn_ridge,WCE,MED,retrain,1.9147385309745626,328,357580,0.29117200001201127,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,EAU,deploy,2.730177490543033,241,260224,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,EAU,adapt,2.616817348230924,241,260224,0.0016540000069653615,60000,-0.24742662906646729,1.2333574295043945,0.46817760000703856
spatial_knn_ridge,WCE,EAU,retrain,2.633165822978831,241,260224,0.26200169998628553,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,NWN,deploy,2.650514119309806,183,191293,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,NWN,adapt,2.522105069108348,183,191293,0.0014174999960232526,60000,-0.49570953845977783,1.786733627319336,0.46817760000703856
spatial_knn_ridge,WCE,NWN,retrain,2.508383575032969,183,191293,0.24159599999256898,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,NCA,deploy,1.3934959951374266,144,154432,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,NCA,adapt,1.1233290555990405,144,154432,0.0015104999911272898,60000,-0.4374668002128601,1.4044643640518188,0.46817760000703856
spatial_knn_ridge,WCE,NCA,retrain,1.1164610642525885,144,154432,0.24943950001033954,120000,,,0.46817760000703856
spatial_knn_ridge,WCE,EAS,deploy,6.542064341631803,110,113134,0.0,0,,,0.46817760000703856
spatial_knn_ridge,WCE,EAS,adapt,6.515472173690796,110,113134,0.001450499999918975,60000,-0.20000141859054565,1.4476089477539062,0.46817760000703856
spatial_knn_ridge,WCE,EAS,retrain,6.499321603775025,110,113134,0.22575959999812767,120000,,,0.46817760000703856
spatial_knn_ridge,WNA,NEU,deploy,2.4222288066744806,1000,1092528,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,NEU,adapt,2.46303684091568,1000,1092528,0.0018511000089347363,60000,0.22007444500923157,0.7373666167259216,0.46404969999275636
spatial_knn_ridge,WNA,NEU,retrain,2.46648766708374,1000,1092528,0.5056327000056626,120000,,,0.46404969999275636
spatial_knn_ridge,WNA,WCE,deploy,2.3598347297906876,1000,1092580,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,WCE,adapt,2.379730138659477,1000,1092580,0.0016859000024851412,60000,0.2435474991798401,0.629597544670105,0.46404969999275636
spatial_knn_ridge,WNA,WCE,retrain,2.386439118385315,1000,1092580,0.46817760000703856,120000,,,0.46404969999275636
spatial_knn_ridge,WNA,ENA,deploy,3.2996388198772153,522,565907,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,ENA,adapt,3.319181407091718,522,565907,0.0014783000078750774,60000,0.2998749613761902,0.5525039434432983,0.46404969999275636
spatial_knn_ridge,WNA,ENA,retrain,3.3073838761939856,522,565907,0.3404669000010472,120000,,,0.46404969999275636
spatial_knn_ridge,WNA,CNA,deploy,2.4723664973968784,438,475057,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,CNA,adapt,2.4424277414742126,438,475057,0.0016199999954551458,60000,0.1278223693370819,0.6616798043251038,0.46404969999275636
spatial_knn_ridge,WNA,CNA,retrain,2.417191463382277,438,475057,0.32375900000624824,120000,,,0.46404969999275636
spatial_knn_ridge,WNA,SAU,deploy,1.8517371011935069,351,379054,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,SAU,adapt,1.8260236467391338,351,379054,0.001604699995368719,60000,0.13519814610481262,0.6540108919143677,0.46404969999275636
spatial_knn_ridge,WNA,SAU,retrain,1.8284593691513409,351,379054,0.312544300002628,120000,,,0.46404969999275636
spatial_knn_ridge,WNA,MED,deploy,1.9518699631458376,328,357580,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,MED,adapt,1.9202073209169435,328,357580,0.001596300004166551,60000,0.02217152714729309,0.8629148602485657,0.46404969999275636
spatial_knn_ridge,WNA,MED,retrain,1.9147385309745626,328,357580,0.29117200001201127,120000,,,0.46404969999275636
spatial_knn_ridge,WNA,EAU,deploy,2.6442185269351817,241,260224,0.0,0,,,0.46404969999275636
spatial_knn_ridge,WNA,EAU,adapt,2.6184020250170064,241,260224,0.0016503999941051006,60000,0.07483014464378357,0.7673262357711792,0.46404969999275636
