model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
patchtst_small,NEU,CAU,deploy,deploy,0.7549751400947571,69,60000,0.0,0,8.342282700003125
patchtst_small,NEU,CAU,adapt,head_finetune,0.7188675999641418,69,60000,2.5466982000070857,30000,8.342282700003125
patchtst_small,NEU,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,8.342282700003125
patchtst_small,WCE,CAU,deploy,deploy,0.7325419783592224,69,60000,0.0,0,7.843918500002474
patchtst_small,WCE,CAU,adapt,head_finetune,0.7189891338348389,69,60000,2.472420999998576,30000,7.843918500002474
patchtst_small,WCE,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.843918500002474
patchtst_small,WNA,CAU,deploy,deploy,0.7225956320762634,69,60000,0.0,0,7.814519100007601
patchtst_small,WNA,CAU,adapt,head_finetune,0.7112163305282593,69,60000,2.4917324999987613,30000,7.814519100007601
patchtst_small,WNA,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.814519100007601
patchtst_small,ENA,CAU,deploy,deploy,0.711256742477417,69,60000,0.0,0,7.824448499988648
patchtst_small,ENA,CAU,adapt,head_finetune,0.7096161246299744,69,60000,2.630282800004352,30000,7.824448499988648
patchtst_small,ENA,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.824448499988648
patchtst_small,CNA,CAU,deploy,deploy,0.7104619741439819,69,60000,0.0,0,7.944100799999433
patchtst_small,CNA,CAU,adapt,head_finetune,0.7110783457756042,69,60000,2.5560854000068503,30000,7.944100799999433
patchtst_small,CNA,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.944100799999433
patchtst_small,SAU,CAU,deploy,deploy,0.7124205827713013,69,60000,0.0,0,7.70494919999328
patchtst_small,SAU,CAU,adapt,head_finetune,0.7108227610588074,69,60000,2.562810299990815,30000,7.70494919999328
patchtst_small,SAU,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.70494919999328
patchtst_small,MED,CAU,deploy,deploy,0.7257656455039978,69,60000,0.0,0,7.6854731000057654
patchtst_small,MED,CAU,adapt,head_finetune,0.7151060700416565,69,60000,2.5006617000035476,30000,7.6854731000057654
patchtst_small,MED,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.6854731000057654
patchtst_small,EAU,CAU,deploy,deploy,0.7094570398330688,69,60000,0.0,0,7.794699599995511
patchtst_small,EAU,CAU,adapt,head_finetune,0.7097871899604797,69,60000,2.505643100012094,30000,7.794699599995511
patchtst_small,EAU,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.794699599995511
patchtst_small,NWN,CAU,deploy,deploy,0.7227892875671387,69,60000,0.0,0,7.659147900005337
patchtst_small,NWN,CAU,adapt,head_finetune,0.7096258401870728,69,60000,2.5623001999920234,30000,7.659147900005337
patchtst_small,NWN,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.659147900005337
patchtst_small,NCA,CAU,deploy,deploy,0.708763837814331,69,60000,0.0,0,7.646099200006574
patchtst_small,NCA,CAU,adapt,head_finetune,0.7090069651603699,69,60000,2.578595300001325,30000,7.646099200006574
patchtst_small,NCA,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.646099200006574
patchtst_small,EAS,CAU,deploy,deploy,0.7303570508956909,69,60000,0.0,0,7.586061099995277
patchtst_small,EAS,CAU,adapt,head_finetune,0.7145630717277527,69,60000,2.4680179999995744,30000,7.586061099995277
patchtst_small,EAS,CAU,retrain,retrain,0.7107345461845398,69,60000,7.673963399996865,90000,7.586061099995277
patchtst_small,NEU,NAU,deploy,deploy,2.9030566215515137,58,58164,0.0,0,8.342282700003125
patchtst_small,NEU,NAU,adapt,head_finetune,2.8883893489837646,58,58164,2.535305299999891,30000,8.342282700003125
patchtst_small,NEU,NAU,retrain,retrain,2.8683018684387207,58,58164,7.645508699992206,90000,8.342282700003125
patchtst_small,WCE,NAU,deploy,deploy,2.919060230255127,58,58164,0.0,0,7.843918500002474
patchtst_small,WCE,NAU,adapt,head_finetune,2.910325050354004,58,58164,2.538440999996965,30000,7.843918500002474
patchtst_small,WCE,NAU,retrain,retrain,2.8683018684387207,58,58164,7.645508699992206,90000,7.843918500002474
patchtst_small,WNA,NAU,deploy,deploy,2.898679733276367,58,58164,0.0,0,7.814519100007601
patchtst_small,WNA,NAU,adapt,head_finetune,2.8909199237823486,58,58164,2.5954101999959676,30000,7.814519100007601
patchtst_small,WNA,NAU,retrain,retrain,2.8683018684387207,58,58164,7.645508699992206,90000,7.814519100007601
patchtst_small,ENA,NAU,deploy,deploy,2.95288348197937,58,58164,0.0,0,7.824448499988648
patchtst_small,ENA,NAU,adapt,head_finetune,2.9498002529144287,58,58164,2.4652708000066923,30000,7.824448499988648
