target_region,budget_retrains,budget_fraction,policy,mean_mae
CNA,0,0.0,action_value,2.294296961478447
CNA,0,0.0,mmd,2.294296961478447
CNA,0,0.0,wasserstein,2.294296961478447
CNA,0,0.0,distance,2.294296961478447
CNA,0,0.0,mean_shift,2.294296961478447
CNA,0,0.0,kl_source_target,2.294296961478447
CNA,0,0.0,oracle,2.294296961478447
CNA,0,0.0,random_expected,2.294296961478447
CNA,1,0.03333333333333333,action_value,2.2902199719866667
CNA,1,0.03333333333333333,mmd,2.2931762197835988
CNA,1,0.03333333333333333,wasserstein,2.2933812446563397
CNA,1,0.03333333333333333,distance,2.293527310002522
CNA,1,0.03333333333333333,mean_shift,2.2933812446563397
CNA,1,0.03333333333333333,kl_source_target,2.2931762197835988
CNA,1,0.03333333333333333,oracle,2.288678945553358
CNA,1,0.03333333333333333,random_expected,2.2923692070113293
CNA,2,0.06666666666666667,action_value,2.29025944615608
CNA,2,0.06666666666666667,mmd,2.2929276684148854
CNA,2,0.06666666666666667,wasserstein,2.2931005941995934
CNA,2,0.06666666666666667,distance,2.2933581122842193
CNA,2,0.06666666666666667,mean_shift,2.2931005941995934
CNA,2,0.06666666666666667,kl_source_target,2.2929276684148854
CNA,2,0.06666666666666667,oracle,2.283079097123996
CNA,2,0.06666666666666667,random_expected,2.2904414525442114
CNA,3,0.1,action_value,2.289667702841614
CNA,3,0.1,mmd,2.287309652489796
CNA,3,0.1,wasserstein,2.28752297432909
CNA,3,0.1,distance,2.287986931114074
CNA,3,0.1,mean_shift,2.28752297432909
CNA,3,0.1,kl_source_target,2.287309652489796
CNA,3,0.1,oracle,2.2775014772534923
CNA,3,0.1,random_expected,2.2885136980770935
CNA,4,0.13333333333333333,action_value,2.284185148405884
CNA,4,0.13333333333333333,mmd,2.281709804060434
CNA,4,0.13333333333333333,wasserstein,2.281904958404
CNA,4,0.13333333333333333,distance,2.2824738988366486
CNA,4,0.13333333333333333,mean_shift,2.283445984837309
CNA,4,0.13333333333333333,kl_source_target,2.2817966202123707
CNA,4,0.13333333333333333,oracle,2.271988444976067
CNA,4,0.13333333333333333,random_expected,2.2865859436099756
CNA,5,0.16666666666666666,action_value,2.2788139672357386
CNA,5,0.16666666666666666,mmd,2.281606091978525
CNA,5,0.16666666666666666,wasserstein,2.2816564070352867
CNA,5,0.16666666666666666,distance,2.282373111355976
CNA,5,0.16666666666666666,mean_shift,2.283485459006722
CNA,5,0.16666666666666666,kl_source_target,2.2816958327316987
CNA,5,0.16666666666666666,oracle,2.266505890540337
CNA,5,0.16666666666666666,random_expected,2.2846581891428577
CNA,6,0.2,action_value,2.2732363473652346
CNA,6,0.2,mmd,2.2808177556757516
CNA,6,0.2,wasserstein,2.2805356653404383
CNA,6,0.2,distance,2.281278124288337
