model,target_region,n,r2_physical,r2_shift,winner
spatial_knn_ridge,CNA,13140,-0.34598563314158204,0.7978626578715389,shift
spatial_knn_ridge,EAS,3300,-0.4331966904401723,0.2779656986249942,shift
spatial_knn_ridge,EAU,7230,-0.09119945074430369,0.7462046461560328,shift
spatial_knn_ridge,ENA,15660,-0.17768672273095798,0.6970519507012547,shift
spatial_knn_ridge,MED,9840,-0.11868055443621195,0.8518772815569362,shift
spatial_knn_ridge,NCA,4320,-1.037398705605482,0.8931733326146811,shift
spatial_knn_ridge,NEU,30000,-0.3165621057229364,0.3857830065123604,shift
spatial_knn_ridge,NWN,5490,0.519516721971544,0.036094284497193874,physical
spatial_knn_ridge,SAU,10530,-0.15503740517531805,0.7421311330962221,shift
spatial_knn_ridge,WCE,30000,-0.2490783260828513,0.7910385473628849,shift
spatial_knn_ridge,WNA,29250,-0.037992034386328255,0.48660422273260706,shift
stgcn_diffusion,CNA,13140,0.14738561654838522,0.06844389619157454,physical
stgcn_diffusion,EAS,3300,-0.016619432352644736,-0.3109017840249999,physical
stgcn_diffusion,EAU,7230,-0.05979549729426514,0.16726781826158132,shift
stgcn_diffusion,ENA,15660,-0.09812463304446917,0.1255837939482014,shift
stgcn_diffusion,MED,9840,-0.07603565395381895,0.24308637078774586,shift
stgcn_diffusion,NCA,4320,-1.0270511413135033,0.07798715395930111,shift
stgcn_diffusion,NEU,30000,0.22181295603288675,0.08191913245037152,physical
stgcn_diffusion,NWN,5490,0.541760247306742,-0.029563496240041065,physical
stgcn_diffusion,SAU,10530,-0.24906484606555068,0.30565131168621673,shift
stgcn_diffusion,WCE,30000,-0.09470580634836678,0.4603508465430497,shift
stgcn_diffusion,WNA,29250,0.22725166618425985,-0.019204796548263348,physical
graphwavenet_transfer,CNA,13140,0.25190023525981275,-0.013478447058935972,physical
graphwavenet_transfer,EAS,3300,-6.260177664606191,0.17444210534369242,shift
graphwavenet_transfer,EAU,7230,-1.348836120965522,0.01161702831488054,shift
graphwavenet_transfer,ENA,15660,0.03220013907122787,0.049483907543787176,shift
graphwavenet_transfer,MED,9840,-0.33710626055323134,0.11487299444511267,shift
graphwavenet_transfer,NCA,4320,-2.56671258777328,0.017778687748642552,shift
graphwavenet_transfer,NEU,30000,-0.17755647050801326,0.15370828550389593,shift
graphwavenet_transfer,NWN,5490,0.46337285932058603,-0.022840263595304222,physical
graphwavenet_transfer,SAU,10530,-0.2736033255153054,0.12490143329593084,shift
graphwavenet_transfer,WCE,30000,-0.17447907092126447,0.3524703176725664,shift
graphwavenet_transfer,WNA,29250,0.19090359534201395,-0.06058528050522183,physical
regional_doy_climatology,CNA,13140,-0.09917629752518886,0.9900909661391789,shift
regional_doy_climatology,EAS,3300,-3.985721949396404,-1.7480595013643057,shift
regional_doy_climatology,EAU,7230,-0.06247255985039479,0.9894269899900776,shift
regional_doy_climatology,ENA,15660,-0.1496634635857168,0.9889942653514135,shift
regional_doy_climatology,MED,9840,-0.05701698852556514,0.9882165688396981,shift
regional_doy_climatology,NCA,4320,-0.42293565368643504,0.9818419846421634,shift
regional_doy_climatology,NEU,30000,-0.0026113354922572274,0.9882588939764287,shift
regional_doy_climatology,NWN,5490,-0.044704992277162514,0.9351694821979075,shift
regional_doy_climatology,SAU,10530,-0.051707145647640784,0.9673576365643466,shift
regional_doy_climatology,WCE,30000,-0.003294342402456518,0.9800189006065801,shift
regional_doy_climatology,WNA,29250,-0.05339277013600685,0.9642092852355044,shift
