forecast_model,feature_set,cv_kind,estimator,n_runs,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max
graphwavenet_transfer,distance_only,leave_target_region_out,random_forest,3,0.029327878372177613,0.0016073437734877342,-0.20416849625774716,0.05612667641644142,-0.2658555704514185,-0.15611355411587557
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,3,0.030954251445995232,0.001725896883794179,-0.25579333354263656,0.045345367233069485,-0.30567749333533367,-0.21707154824905883
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,3,0.025497966711186853,0.001280268908055874,-0.1904779887231347,0.11064255640229216,-0.28251009278758765,-0.0677198742131726
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,3,0.02585440128552548,0.0015328222785158047,-0.2723038857346846,0.1504289607778063,-0.403922024587283,-0.10832979512250485
linear_window,distance_only,leave_target_region_out,random_forest,3,0.03883143484777008,0.0051306608635040595,-0.1780288824653228,0.09109458589516295,-0.23415819298104923,-0.07292301125662526
linear_window,generic_shift,leave_target_region_out,random_forest,3,0.03802032748173581,0.004482794241425636,-0.13999791176524545,0.044229826979086506,-0.16913342637772177,-0.08910359481183505
linear_window,physical_knowledge,leave_target_region_out,random_forest,3,0.039251707988684624,0.0032931263045862646,-0.20304929525368234,0.16420380425066985,-0.37977790917477394,-0.055202746434413585
linear_window,physical_plus_shift,leave_target_region_out,random_forest,3,0.037690447127350375,0.001877883726935893,-0.11210014313454031,0.12425340081642003,-0.25496126151592136,-0.029183363696888565
patchtst_small,distance_only,leave_target_region_out,random_forest,3,0.03907626367527025,0.003918032308115741,-0.18072122472172772,0.07124909885802838,-0.22695833934629328,-0.09867023990575907
patchtst_small,generic_shift,leave_target_region_out,random_forest,3,0.038008194361572774,0.0023694067966449836,-0.13994254383055615,0.020651094813362744,-0.16112754331035894,-0.1198703518608899
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,3,0.04050181064278896,0.0029616457839614202,-0.24937778262489116,0.18368580642012852,-0.4464144197554698,-0.08286756600242562
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,3,0.0387459718582907,0.0023258741653156712,-0.1545077143601632,0.16881308718814877,-0.34846283203935347,-0.040680299422307
regional_doy_climatology,distance_only,leave_target_region_out,random_forest,3,0.3297335080450264,0.00031952025135404023,-0.546664579839335,0.0005083920722441969,-0.5471917555916175,-0.5461773252607662
regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,3,0.36670910034120935,0.00030273985243246137,-1.0570960999054047,0.005017576771237296,-1.0618669315591331,-1.051863676763113
regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,3,0.24355255500025944,0.0018766942189587413,0.01225683258325172,0.01127473147950523,0.0004843386956433493,0.022957210880126144
regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,3,0.29399606618473256,0.0014738741841916017,-0.5044502326561294,0.012586666829554772,-0.5188647688305956,-0.49563360381553223
spatial_knn_ridge,distance_only,leave_target_region_out,random_forest,3,0.04979635619464958,0.0002734235577179975,-0.5757977761673024,0.00019909317140909933,-0.5760057373511085,-0.5756089297965234
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,3,0.05061321668847263,0.00011937085386355966,-0.6948999588200492,0.009247193843397733,-0.7054954916823903,-0.6884569384870469
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,3,0.03679058199127544,7.759740889479471e-05,0.0660287132747331,0.012555158903693648,0.05370973455310124,0.07880742370293936
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,3,0.037776395586572066,0.0003206546609901461,-0.006812467999178451,0.02817113004348154,-0.03927609802002996,0.011207394082411781
stgcn_diffusion,distance_only,leave_target_region_out,random_forest,3,0.015810031874345747,0.0006401932470031563,0.3277030859774869,0.08105384106434446,0.23438568281923544,0.3805764357473219
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,3,0.01734052311778453,0.0011594215425353165,0.21616785684882556,0.12943201935334236,0.06713181152739289,0.3003730117010054
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,3,0.023569934795546255,0.0002971721658807836,-0.27786230023075326,0.07661496663475989,-0.35456971184043296,-0.2013401144253586
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,3,0.021730784769828797,0.0012387595745030097,-0.17603601177045322,0.08760553940355251,-0.25728464744401536,-0.0832223757250965
