model,held_out_region,n,phys_distance,geo_distance,ltro_mae,ltro_r2,ltro_spearman,conformal_coverage
spatial_knn_ridge,CNA,13140,2.487786336676834,12.762112366273143,0.06536269892445468,-0.1267393809301749,0.3376197519813243,0.8834855403348554
spatial_knn_ridge,EAS,3300,6.528506111684955,64.55131955899269,0.09845777046610321,-1.581772126548933,0.2066727792738924,0.9875757575757576
spatial_knn_ridge,EAU,7230,1.88332997037436,14.532548435721534,0.0661771740681742,-0.33404686409324724,-0.143279095336581,0.9879668049792532
spatial_knn_ridge,ENA,15660,2.487786336676834,16.632134644836842,0.08845095932848705,-0.769144038820021,0.3146273572318203,0.9913793103448276
spatial_knn_ridge,MED,9840,1.88332997037436,10.322635159608035,0.09129633125950307,-1.1102256962625412,-0.06926174086912429,0.6925813008130082
spatial_knn_ridge,NCA,4320,4.769981486481806,11.95513233006116,0.25052535748385907,-11.47923510598287,-0.5708258171044094,0.1076388888888889
spatial_knn_ridge,NEU,30000,0.8450246898079554,8.370414778311103,0.07350591801398978,-3.5496731179477043,-0.13303402214288298,0.9999333333333333
spatial_knn_ridge,NWN,5490,1.0872289874861873,24.772908795692988,0.12782364887353395,-0.25018979634843896,-0.07945014815363971,0.7845173041894353
spatial_knn_ridge,SAU,10530,2.556958225851791,14.532548435721534,0.0690953515605847,-0.5800708578912466,-0.03399516069254354,0.8650522317188983
spatial_knn_ridge,WCE,30000,0.8450246898079554,8.370414778311103,0.05590794129377032,-1.1403715647187296,0.6003490427516553,1.0
spatial_knn_ridge,WNA,29250,1.0872289874861873,11.95513233006116,0.07361416259376842,-0.3872508075122796,0.10452815454445495,0.7855384615384615
stgcn_diffusion,CNA,13140,2.487786336676834,12.762112366273143,0.1183880118923041,-0.3600791855271861,0.28835724441272115,0.7850076103500762
stgcn_diffusion,EAS,3300,6.528506111684955,64.55131955899269,0.18097065936110313,-0.01821807123835506,0.09662618563413815,0.8166666666666667
stgcn_diffusion,EAU,7230,1.88332997037436,14.532548435721534,0.05175189488159222,-0.130433331545611,0.24253011496732554,0.9266943291839558
stgcn_diffusion,ENA,15660,2.487786336676834,16.632134644836842,0.1589980241778049,-0.09364671299307759,0.19202268721114546,0.723690932311622
stgcn_diffusion,MED,9840,1.88332997037436,10.322635159608035,0.03489597284498596,-0.19532706026183666,0.03421499144925525,0.9650406504065041
stgcn_diffusion,NCA,4320,4.769981486481806,11.95513233006116,0.04818182550112234,-2.411120356780951,0.05774338449057716,0.9444444444444444
stgcn_diffusion,NEU,30000,0.8450246898079554,8.370414778311103,0.050322698376444444,0.1844975455283967,0.3664861210353186,0.9134
stgcn_diffusion,NWN,5490,1.0872289874861873,24.772908795692988,0.2073037057902559,0.0025340841301839667,0.05702872198513877,0.8316939890710382
stgcn_diffusion,SAU,10530,2.556958225851791,14.532548435721534,0.041217670330846334,-0.3563822470636946,0.11887875641418942,0.9526115859449192
stgcn_diffusion,WCE,30000,0.8450246898079554,8.370414778311103,0.03827054888189815,-0.2799357446550679,0.27352762702652433,0.9785
stgcn_diffusion,WNA,29250,1.0872289874861873,11.95513233006116,0.05857973597323935,0.16885719339015004,0.22457029666359873,0.932034188034188
graphwavenet_transfer,CNA,13140,2.487786336676834,12.762112366273143,0.1536271233717273,0.11640543922018676,0.38213015452635707,0.5601217656012176
graphwavenet_transfer,EAS,3300,6.528506111684955,64.55131955899269,0.1101854320593236,-2.223432562055592,0.11236438543896891,0.9406060606060606
graphwavenet_transfer,EAU,7230,1.88332997037436,14.532548435721534,0.041769300866755746,-0.5669864024831872,0.2559536438411845,0.9881051175656985
graphwavenet_transfer,ENA,15660,2.487786336676834,16.632134644836842,0.23452581084121682,0.00237363948092828,0.3374422434546019,0.7219667943805875
graphwavenet_transfer,MED,9840,1.88332997037436,10.322635159608035,0.026397354359437953,-0.23443880175297283,0.2075542715984842,0.9945121951219512
graphwavenet_transfer,NCA,4320,4.769981486481806,11.95513233006116,0.04017754066758419,-1.3390393177055997,0.19890752812452092,0.9974537037037037
graphwavenet_transfer,NEU,30000,0.8450246898079554,8.370414778311103,0.04197004577870005,0.20703689179001117,0.6185957826950162,0.9576
graphwavenet_transfer,NWN,5490,1.0872289874861873,24.772908795692988,0.13850757963730276,0.114075324641706,0.30114108529509426,0.8375227686703096
graphwavenet_transfer,SAU,10530,2.556958225851791,14.532548435721534,0.027986354129648283,-0.21762334438730058,0.2458568105740003,0.9911680911680911
graphwavenet_transfer,WCE,30000,0.8450246898079554,8.370414778311103,0.03393524233479112,-0.1992754685929765,0.45414757268837996,0.9944333333333333
graphwavenet_transfer,WNA,29250,1.0872289874861873,11.95513233006116,0.06840740101956332,0.19639769987424782,0.18264544301211694,0.8776752136752137
regional_doy_climatology,CNA,13140,2.487786336676834,12.762112366273143,0.7744596262256099,-1.3725908037470131,-0.41778649084037534,0.8541095890410959
regional_doy_climatology,EAS,3300,6.528506111684955,64.55131955899269,4.613684793276283,-68.40707669941007,-0.17007818365967714,1.0
regional_doy_climatology,EAU,7230,1.88332997037436,14.532548435721534,0.8939451597553081,-1.0806337833983966,-0.8240751594506733,0.9
regional_doy_climatology,ENA,15660,2.487786336676834,16.632134644836842,1.27618744169234,-2.4240812906771043,-0.4871242424060722,0.9
regional_doy_climatology,MED,9840,1.88332997037436,10.322635159608035,0.9751599311563366,-1.1823533328089573,-0.710095582169493,0.6725609756097561
regional_doy_climatology,NCA,4320,4.769981486481806,11.95513233006116,2.108295423996326,-6.0396728352957485,-0.8394910590119867,0.10138888888888889
regional_doy_climatology,NEU,30000,0.8450246898079554,8.370414778311103,0.30328101085751513,0.8217030504354759,-0.18566307623649894,0.9996
regional_doy_climatology,NWN,5490,1.0872289874861873,24.772908795692988,0.9548553477332558,-1.455115163685134,-0.5898560296992739,0.9
regional_doy_climatology,SAU,10530,2.556958225851791,14.532548435721534,0.5919384668135664,0.44786390924643527,-0.02162346418245257,0.7532763532763532
regional_doy_climatology,WCE,30000,0.8450246898079554,8.370414778311103,0.2843627478240872,0.8661820550551763,0.21550781221469661,0.9994666666666666
regional_doy_climatology,WNA,29250,1.0872289874861873,11.95513233006116,0.3953856159609094,0.7380678148234687,0.2429097946595064,0.9396923076923077
