model,r2_shift,r2_random_only,r2_shift_plus_random
spatial_knn_ridge,0.6555814205532065,-0.015098182614288524,0.6460473632387158
stgcn_diffusion,0.03380158487647478,-0.011346747882791441,0.006666957542480867
graphwavenet_transfer,0.1580599012458931,-0.016107299506272543,0.13676634591031644
regional_doy_climatology,0.965352189778489,-0.010122377874288602,0.9647605146523457
