source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean,run_tag,seed_index,source_in_region_mae,source_in_region_brier,abs_degradation
CNA,EAS,regional_doy_climatology,110,16,7.05100319635246,0.626170923640426,-1.81385405217885,0.0352519524120022,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,1.81385405217885
CNA,EAU,regional_doy_climatology,241,6,4.088156105806156,0.7045848321315354,-0.1102421129726045,0.0396785065582,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.1102421129726045
CNA,ENA,regional_doy_climatology,522,21,4.149709095342572,0.6543172192527054,-0.557076291449896,-0.0698912551334362,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.557076291449896
CNA,MED,regional_doy_climatology,328,19,3.1506088665017344,0.7345318883227439,0.3448028336327469,0.1029451396067571,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.3448028336327469
CNA,NCA,regional_doy_climatology,144,7,2.750231064258056,0.7804821569714152,0.8933137795278218,0.301808601110992,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.8933137795278218
CNA,NEU,regional_doy_climatology,1000,28,3.133747934737783,0.6274908705641465,-0.0148558903859755,-0.0189368171923451,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.0148558903859755
CNA,NWN,regional_doy_climatology,183,36,3.543916555350271,0.6595961046162048,-0.1964102899454119,-0.0656335764767076,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.1964102899454119
CNA,SAU,regional_doy_climatology,351,13,3.0067295285126345,0.6789992901985624,0.2293997877066679,0.0297961776827305,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.2293997877066679
CNA,WCE,regional_doy_climatology,1000,14,3.0244231981607603,0.6348459488003384,-0.0424347221130994,-0.0217253446072347,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.0424347221130994
CNA,WNA,regional_doy_climatology,975,17,3.2671245273641807,0.6912802981283477,0.1392001656309136,0.0795170503698549,all_viable_min100_full_s1,1,3.4951889062762675,0.7195435680303586,0.1392001656309136
EAS,CNA,regional_doy_climatology,438,14,6.506415010744624,0.6954419293015507,3.0112261044683573,-0.0241016387288078,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,3.0112261044683573
EAS,EAU,regional_doy_climatology,241,6,7.320190850216876,0.6928588113634958,3.121792631438116,0.0279524857901605,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,3.121792631438116
EAS,ENA,regional_doy_climatology,522,21,6.894410386737306,0.6429556865077077,2.187624999944838,-0.0812527878784338,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,2.187624999944838
EAS,MED,regional_doy_climatology,328,19,6.582473636818139,0.7227175792979843,3.776667603949151,0.0911308305819976,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,3.776667603949151
EAS,NCA,regional_doy_climatology,144,7,6.15120920188552,0.7522765057486618,4.294291917155286,0.2736029498882387,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,4.294291917155286
EAS,NEU,regional_doy_climatology,1000,28,6.123041062868471,0.6151122812417582,2.974437237744713,-0.0313154065147335,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,2.974437237744713
EAS,NWN,regional_doy_climatology,183,36,6.555815974151684,0.640413586262532,2.8154891288560013,-0.0848160948303804,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,2.8154891288560013
EAS,SAU,regional_doy_climatology,351,13,6.056505781867814,0.6463486841206624,3.2791760410618465,-0.0028544283951694,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,3.2791760410618465
EAS,WCE,regional_doy_climatology,1000,14,5.978208912044071,0.6225794200211102,2.911350991770211,-0.0339918733864629,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,2.911350991770211
EAS,WNA,regional_doy_climatology,975,17,6.618069502407116,0.6834913092672665,3.490145140673849,0.0717280615087737,all_viable_min100_full_s1,1,8.86485724853131,0.5909189712284239,3.490145140673849
EAU,CNA,regional_doy_climatology,438,14,3.7780080238313625,0.703004850049046,0.2828191175550948,-0.0165387179813125,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.2828191175550948
EAU,EAS,regional_doy_climatology,110,16,7.531134640097048,0.6766095630138822,-1.3337226084342628,0.0856905917854583,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,1.3337226084342628
EAU,ENA,regional_doy_climatology,522,21,4.355024673508302,0.6384988052714473,-0.3517607132841668,-0.0857096691146942,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.3517607132841668
EAU,MED,regional_doy_climatology,328,19,3.2738172637037857,0.6781370683118159,0.4680112308347983,0.0465503195958291,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.4680112308347983
EAU,NCA,regional_doy_climatology,144,7,2.985017465054982,0.7440611917846459,1.128100180324748,0.2653876359242227,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,1.128100180324748
EAU,NEU,regional_doy_climatology,1000,28,3.280933769012196,0.594553212482201,0.1323299438884367,-0.0518744752742905,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.1323299438884367
EAU,NWN,regional_doy_climatology,183,36,3.754646850690256,0.6412344177059249,0.0143200053945733,-0.0839952633869875,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.0143200053945733
EAU,SAU,regional_doy_climatology,351,13,3.3094325801110607,0.6744934711461771,0.5321028393050939,0.0252903586303452,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.5321028393050939
EAU,WCE,regional_doy_climatology,1000,14,3.211421808631916,0.6123243112041963,0.1445638883580564,-0.0442469822033768,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.1445638883580564
EAU,WNA,regional_doy_climatology,975,17,3.288058345260908,0.6282006114870108,0.1601339835276408,0.016437363728518,all_viable_min100_full_s1,1,4.1983982187787605,0.6649063255733354,0.1601339835276408
ENA,CNA,regional_doy_climatology,438,14,4.229864228848009,0.8167811820731493,0.7346753225717412,0.0972376140427907,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.7346753225717412
ENA,EAS,regional_doy_climatology,110,16,7.69207955121522,0.722788329310358,-1.1727776973160913,0.1318693580819342,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,1.1727776973160913
ENA,EAU,regional_doy_climatology,241,6,4.682848004294171,0.7706615168670985,0.4844497855154105,0.1057551912937632,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.4844497855154105
ENA,MED,regional_doy_climatology,328,19,3.8405602920827993,0.8173143523473475,1.034754259213812,0.1857276036313608,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,1.034754259213812
ENA,NCA,regional_doy_climatology,144,7,3.5695836337994424,0.8932390523937461,1.712666349069209,0.4145654965333228,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,1.712666349069209
ENA,NEU,regional_doy_climatology,1000,28,3.623326211309161,0.66129111033746,0.4747223861854026,0.0148634225809684,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.4747223861854026
ENA,NWN,regional_doy_climatology,183,36,4.118174893848225,0.7209196568387294,0.3778480485525428,-0.004310024254183,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.3778480485525428
ENA,SAU,regional_doy_climatology,351,13,3.6658340027920047,0.7616030920396557,0.8885042619860383,0.1123999795238237,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.8885042619860383
ENA,WCE,regional_doy_climatology,1000,14,3.5559022491343644,0.6883328290699866,0.4890443288605047,0.0317615356624134,all_viable_min100_full_s1,1,4.706785386792467,0.7242084743861416,0.4890443288605047
