forecast_model,policy,n_pairs,point_r2,alpha,target_coverage,empirical_coverage,mean_bound_width,deploy_rate,adapt_rate,retrain_rate,unsafe_deploy_rate,mean_cost
graphwavenet_transfer,reliability_fusion_2src_conflict2,110,0.8795056690818791,0.2,0.8,0.8338181818181818,0.021940206367508337,6.0606060606060605e-05,0.06896969696969697,0.9309696969696969,0.0,0.5503636363636363
graphwavenet_transfer,reliability_fusion_2src_conflict2,110,0.8795056690818791,0.1,0.9,0.9356969696969698,0.029081751906762415,0.0,0.03575757575757576,0.9642424242424243,0.0,0.5875757575757575
graphwavenet_transfer,reliability_fusion_2src_conflict2,110,0.8795056690818791,0.05,0.95,0.9486666666666668,0.029957000832487934,0.0,0.016787878787878786,0.9832121212121213,0.0,0.622
graphwavenet_transfer,three_source_concat_conflict2,110,0.65775810485374,0.2,0.8,0.8260000000000001,0.021150979841741434,0.02957575757575757,0.1496969696969697,0.8207272727272729,0.05048209366391185,0.4264848484848485
graphwavenet_transfer,three_source_concat_conflict2,110,0.65775810485374,0.1,0.9,0.9284242424242424,0.029086092163330322,0.008303030303030302,0.10127272727272728,0.8904242424242425,0.0,0.4954545454545454
graphwavenet_transfer,three_source_concat_conflict2,110,0.65775810485374,0.05,0.95,0.9462424242424242,0.030212524587823017,0.0012121212121212121,0.09606060606060607,0.9027272727272727,0.0,0.5018787878787879
graphwavenet_transfer,reliability_fusion_3src_global,110,0.6499323627694586,0.2,0.8,0.8061818181818182,0.026915417099134822,0.0,6.0606060606060605e-05,0.999939393939394,0.0,0.6558787878787878
graphwavenet_transfer,reliability_fusion_3src_global,110,0.6499323627694586,0.1,0.9,0.911151515151515,0.05503131123751475,0.0,0.0,1.0,0.0,0.6521818181818182
graphwavenet_transfer,reliability_fusion_3src_global,110,0.6499323627694586,0.05,0.95,0.9607878787878789,0.0711510732265682,0.0,0.0,1.0,0.0,0.6583030303030303
graphwavenet_transfer,reliability_fusion_3src_conflict3,110,0.6499323627694586,0.2,0.8,0.8361212121212122,0.02527821505440805,0.005090909090909091,0.15169696969696972,0.8432121212121212,0.0,0.4898181818181818
graphwavenet_transfer,reliability_fusion_3src_conflict3,110,0.6499323627694586,0.1,0.9,0.9341818181818181,0.03430431413098676,0.0003636363636363636,0.08054545454545455,0.9190909090909092,0.0,0.553939393939394
graphwavenet_transfer,reliability_fusion_3src_conflict3,110,0.6499323627694586,0.05,0.95,0.9538181818181818,0.03687822099855391,6.0606060606060605e-05,0.03127272727272728,0.9686666666666668,0.0,0.6138181818181817
graphwavenet_transfer,three_source_concat_conflict3,110,0.65775810485374,0.2,0.8,0.828060606060606,0.02259025984265293,0.049575757575757586,0.14715151515151514,0.8032727272727274,0.007645411105618718,0.3125454545454545
graphwavenet_transfer,three_source_concat_conflict3,110,0.65775810485374,0.1,0.9,0.9353939393939394,0.030719506955095496,0.026484848484848486,0.1427272727272727,0.8307878787878789,0.0,0.3709090909090909
graphwavenet_transfer,three_source_concat_conflict3,110,0.65775810485374,0.05,0.95,0.9541818181818181,0.03217170786109835,0.012303030303030303,0.13290909090909092,0.8547878787878788,0.0,0.4113939393939394
linear_window,reliability_fusion_2src_conflict2,110,0.21702470549707353,0.2,0.8,0.8386666666666667,0.016566992062435285,0.05503030303030303,0.26963636363636356,0.6753333333333333,0.0,0.6283030303030304
linear_window,reliability_fusion_2src_conflict2,110,0.21702470549707353,0.1,0.9,0.9416363636363637,0.02816766563457823,0.007090909090909091,0.26775757575757575,0.7251515151515152,0.0,0.7010909090909091
linear_window,reliability_fusion_2src_conflict2,110,0.21702470549707353,0.05,0.95,0.9522424242424243,0.028387789175876078,0.001212121212121212,0.23284848484848486,0.7659393939393939,0.0,0.747030303030303
linear_window,three_source_concat_conflict2,110,0.009983727274342269,0.2,0.8,0.832,0.01014662526491221,0.14896969696969697,0.2872727272727273,0.5637575757575758,0.0,0.34030303030303033
linear_window,three_source_concat_conflict2,110,0.009983727274342269,0.1,0.9,0.9358787878787879,0.017843477863242835,0.09296969696969697,0.285030303030303,0.622,0.0,0.43375757575757573
linear_window,three_source_concat_conflict2,110,0.009983727274342269,0.05,0.95,0.9552727272727274,0.019055429764869226,0.06696969696969698,0.2898181818181818,0.6432121212121212,0.0,0.4875151515151515
linear_window,reliability_fusion_3src_global,110,0.5499529053703436,0.2,0.8,0.8033939393939394,0.011210304631083374,0.0013333333333333333,0.17975757575757575,0.8189090909090908,0.0,0.793939393939394
linear_window,reliability_fusion_3src_global,110,0.5499529053703436,0.1,0.9,0.914060606060606,0.023597507002729567,0.0,0.009393939393939394,0.9906060606060606,0.0,1.1321818181818182
linear_window,reliability_fusion_3src_global,110,0.5499529053703436,0.05,0.95,0.962121212121212,0.039109567779710176,0.0,0.00012121212121212121,0.999878787878788,0.0,1.1444242424242421
linear_window,reliability_fusion_3src_conflict3,110,0.5499529053703436,0.2,0.8,0.8330909090909091,0.015148422802878845,0.0916969696969697,0.24812121212121213,0.6601818181818182,0.00037160906726124113,0.5584848484848486
linear_window,reliability_fusion_3src_conflict3,110,0.5499529053703436,0.1,0.9,0.9389090909090908,0.024191044407783354,0.05793939393939394,0.25624242424242427,0.6858181818181819,0.0,0.6024848484848485
linear_window,reliability_fusion_3src_conflict3,110,0.5499529053703436,0.05,0.95,0.9545454545454546,0.024746830110181063,0.02703030303030303,0.26175757575757574,0.7112121212121213,0.0,0.6378787878787878
linear_window,three_source_concat_conflict3,110,0.009983727274342269,0.2,0.8,0.8317575757575758,0.010688103691990403,0.17684848484848484,0.26630303030303026,0.5568484848484848,0.00037037037037037035,0.326
linear_window,three_source_concat_conflict3,110,0.009983727274342269,0.1,0.9,0.9329090909090909,0.018433820073282096,0.1339393939393939,0.2507878787878788,0.6152727272727272,0.0019205516705516706,0.3771515151515151
linear_window,three_source_concat_conflict3,110,0.009983727274342269,0.05,0.95,0.9503636363636364,0.018879578140247887,0.0996969696969697,0.2675151515151515,0.6327878787878788,0.0,0.41418181818181815
patchtst_small,reliability_fusion_2src_conflict2,110,0.7605792956555038,0.2,0.8,0.838,0.023085901682597852,0.04993939393939395,0.28606060606060607,0.6639999999999999,0.00044984255510571296,0.6741212121212121
patchtst_small,reliability_fusion_2src_conflict2,110,0.7605792956555038,0.1,0.9,0.9335151515151513,0.033710929627271645,0.009939393939393939,0.29848484848484846,0.6915757575757575,0.0,0.7340606060606061
