ar6_region,source_id,coverage_threshold,period_start,n_stations
SSA,chl_dmc_precip_01,80,2005,2
SWS,chl_dmc_precip_01,80,2005,21
SWS,global_ghcnd_01,80,2005,1
WAN,chl_dmc_precip_01,80,2005,2
WCA,eur_ecad_01,80,2005,7
WCA,global_ghcnd_01,80,2005,1
WCE,che_meteoswiss_01,80,2005,342
WCE,deu_dwd_cdc_01,80,2005,1355
WCE,eur_ecad_01,80,2005,4692
WCE,global_ghcnd_01,80,2005,564
WNA,can_eccc_climate_stations_01,80,2005,53
WNA,global_ghcnd_01,80,2005,1288
WNA,usa_nerrs_totprcp_01,80,2005,2
WSB,global_ghcnd_01,80,2005,17
CAR,global_ghcnd_01,95,2005,4
CAU,global_ghcnd_01,95,2005,27
CNA,can_eccc_climate_stations_01,95,2005,6
CNA,global_ghcnd_01,95,2005,432
EAS,hkg_geo_raingauge_01,95,2005,58
EAU,global_ghcnd_01,95,2005,241
ENA,can_eccc_climate_stations_01,95,2005,36
ENA,global_ghcnd_01,95,2005,479
ENA,usa_nerrs_totprcp_01,95,2005,7
GIC,can_eccc_climate_stations_01,95,2005,1
GIC,eur_ecad_01,95,2005,3
MED,esp_aemet_daily_hist_01,95,2005,102
MED,eur_ecad_01,95,2005,306
MED,global_ghcnd_01,95,2005,39
NAU,global_ghcnd_01,95,2005,16
NCA,global_ghcnd_01,95,2005,71
NEN,can_eccc_climate_stations_01,95,2005,14
NES,bra_inmet_hist_01,95,2005,1
NEU,deu_dwd_cdc_01,95,2005,115
NEU,eur_ecad_01,95,2005,2375
NEU,global_ghcnd_01,95,2005,523
NWN,can_eccc_climate_stations_01,95,2005,33
NWN,global_ghcnd_01,95,2005,58
SAH,esp_aemet_daily_hist_01,95,2005,1
SAH,eur_ecad_01,95,2005,16
SAH,global_ghcnd_01,95,2005,4
SAU,global_ghcnd_01,95,2005,351
SES,bra_inmet_hist_01,95,2005,1
SSA,chl_dmc_precip_01,95,2005,2
SWS,chl_dmc_precip_01,95,2005,18
WAN,chl_dmc_precip_01,95,2005,2
WCA,eur_ecad_01,95,2005,7
WCE,che_meteoswiss_01,95,2005,333
WCE,deu_dwd_cdc_01,95,2005,1145
WCE,eur_ecad_01,95,2005,4101
WCE,global_ghcnd_01,95,2005,464
WNA,can_eccc_climate_stations_01,95,2005,17
WNA,global_ghcnd_01,95,2005,957
WNA,usa_nerrs_totprcp_01,95,2005,1
