model,r2_physical,r2_shift,r2_combined,delta_comb_minus_shift,delta_lo,delta_hi,p_one_sided,p_holm
graphwavenet_transfer,0.24868560330080924,0.15795260003944578,0.3356162809730773,0.1776636809336315,0.10378552547965766,0.239553204478142,0.0,0.0
linear_window,-0.0295202647819508,-0.0021956215980909466,-0.03265089674345889,-0.030455275145367944,-0.04639364033105958,-0.015099822630326717,1.0,1.0
patchtst_small,-0.03298417451166191,-0.0022092177546939595,-0.0360447211502295,-0.03383550339553554,-0.050766874217269935,-0.017857168622940425,1.0,1.0
regional_doy_climatology,0.07665373988419832,0.9653139195293959,0.8845399246444878,-0.0807739948849081,-0.18529747903070595,0.0042902168783272195,0.959,1.0
spatial_knn_ridge,0.3003273753991823,0.6554572612993153,0.8234071723433979,0.16794991104408263,0.11163624089751882,0.22384896543417207,0.0,0.0
stgcn_diffusion,0.214673955975077,0.03368196330701656,0.31092567920089575,0.2772437158938792,0.1882889242712313,0.3694134586330755,0.0,0.0
