model,mean_weight_physical,physical_only,shift_only,concatenation_rf,precision_fusion
spatial_knn_ridge,0.33401513353529266,0.3003273753991823,0.6554572612993153,0.8234071723433979,0.6593314421651918
stgcn_diffusion,0.5540320895358037,0.214673955975077,0.03368196330701656,0.31092567920089575,0.24129002496643448
graphwavenet_transfer,0.5295100377245235,0.24868560330080913,0.15795260003944578,0.3356162809730773,0.30523217116012125
regional_doy_climatology,0.03794838079069254,0.07665373988419832,0.9653139195293959,0.8845399246444878,0.965107388750541
