cv_kind,forecast_model,n,n_clusters,r2_physical_knowledge,r2_physical_knowledge_lo,r2_physical_knowledge_hi,r2_generic_shift,r2_generic_shift_lo,r2_generic_shift_hi,r2_physical_plus_shift,r2_physical_plus_shift_lo,r2_physical_plus_shift_hi,delta_combined_minus_shift,delta_cvs_lo,delta_cvs_hi,p_combined_gt_shift,delta_combined_minus_physical,delta_cvp_lo,delta_cvp_hi,p_combined_gt_physical,p_combined_gt_shift_holm
group_by_cell,graphwavenet_transfer,158760,537,0.3034330296741554,0.2234934568075445,0.3603245641888737,0.14532530469183036,0.09802848274899714,0.18904486598818124,0.3881099291047805,0.3061648481784576,0.44664727183874275,0.24278462441295012,0.15082389799040066,0.3210768341607753,0.0,0.08467689943062506,0.0664038064429175,0.10788518438597738,0.0,0.0
group_by_cell,linear_window,158760,537,-0.13796856968242688,-0.2539565203873639,-0.05942839686880941,-0.010211637511309712,-0.019135969974080836,-0.0042367671398910265,-0.1394556803192024,-0.25985513854014364,-0.05861789706186909,-0.1292440428078927,-0.24077836012842765,-0.053261108193059604,1.0,-0.001487110636775535,-0.0062695063819839525,0.0020144107696208778,0.69,1.0
group_by_cell,patchtst_small,158760,537,-0.13779810086598876,-0.2602773826739678,-0.05773552785617567,-0.009992196144196885,-0.017954149355594917,-0.004269204165953439,-0.13800447688393747,-0.2591505908437643,-0.057513499711606984,-0.12801228073974058,-0.24103246088701838,-0.052047666784140516,1.0,-0.0002063760179487062,-0.0016148074763838282,0.0013468543063367418,0.617,1.0
group_by_cell,regional_doy_climatology,158760,537,0.039499816026554835,0.014019320087419443,0.06075241548373306,0.9664184423342165,0.9525782573287832,0.9772093975583745,0.8267801549574421,0.6559377201786866,0.9572538361588049,-0.13963828737677442,-0.29841004294500356,-0.019710691072544296,1.0,0.7872803389308872,0.6273049171545293,0.9019705453647344,0.0,1.0
group_by_cell,spatial_knn_ridge,158760,537,0.3052024916593109,0.24136674669549332,0.35586189532939494,0.6554882100754089,0.5894237140966294,0.7188328695128944,0.8319626191789414,0.8078983318821266,0.8550237763013274,0.17647440910353251,0.11907700642366743,0.23377592016104343,0.0,0.5267601275196305,0.47438680556572366,0.5905603845952235,0.0,0.0
group_by_cell,stgcn_diffusion,158760,537,0.23414192227877495,0.1525036176160284,0.31742568170184793,0.08034385374069786,0.011976171116295457,0.13886464487314046,0.36760453708181395,0.2887740435623357,0.44724738088002824,0.2872606833411161,0.20486178210819875,0.3750981380120247,0.0,0.133462614803039,0.10537309663284607,0.16777544769668218,0.0,0.0
leave_target_region_out,graphwavenet_transfer,158760,537,0.11264876010497249,-0.04006627551209722,0.20877510326593682,-0.08849717906932719,-0.124287910976382,-0.06866930627951066,0.0986996858563971,-0.09607819418047009,0.21276913144229698,0.1871968649257243,0.0010833878776779237,0.30453680134745503,0.025,-0.013949074248575388,-0.07354715034141848,0.029487439027781257,0.6835,0.125
leave_target_region_out,linear_window,158760,537,-0.07157860106185776,-0.0972974873493091,-0.0509252639895017,-0.0032611479217441453,-0.0043959998631502295,-0.0023919967113812503,-0.06851202688564384,-0.09554346887311856,-0.04781334710656277,-0.0652508789638997,-0.09183018489116683,-0.044264914651648474,1.0,0.003066574176213921,0.0011916583940530356,0.004815724672342229,0.0005,1.0
leave_target_region_out,patchtst_small,158760,537,-0.07171036001658337,-0.10010836071796661,-0.04926674537286624,-0.003529412797662168,-0.004759021766658262,-0.002629560265656162,-0.06825041204294746,-0.09554023973221057,-0.04650387857607176,-0.0647209992452853,-0.0919960604951188,-0.04278984798663555,1.0,0.003459947973635913,0.001920832031895353,0.004813559647963072,0.0,1.0
leave_target_region_out,regional_doy_climatology,158760,537,-0.05931193643162036,-0.08605423458452709,-0.03759739051392431,-0.4849575313260972,-0.8369787884080818,-0.20944283133179636,-0.34245354176137766,-0.6856015414173746,-0.06373105815439098,0.14250398956471955,0.06591802310886136,0.22113286779381178,0.0005,-0.2831416053297573,-0.6086261910649257,-0.012648377043824552,0.9805,0.003
leave_target_region_out,spatial_knn_ridge,158760,537,-0.020145474056210366,-0.09790701072410404,0.047243743226290665,-0.9275370819465827,-1.1371468107368996,-0.7531777529683457,-0.8148402199782119,-0.929310440481294,-0.708669512492258,0.11269686196837081,-0.0256446633164642,0.26093210837481157,0.055,-0.7946947459220015,-0.9203116406791564,-0.6718079999644714,1.0,0.165
leave_target_region_out,stgcn_diffusion,158760,537,0.10755088356312414,-0.00012955091110391842,0.17511785620456688,-0.1730330080646285,-0.28106225684702557,-0.09495016947905308,-0.014915842257544831,-0.18395017486979381,0.07030709064678274,0.15811716580708368,-0.015511912031577414,0.2953382587092076,0.036,-0.12246672582066898,-0.19080001258441665,-0.07449953132814971,1.0,0.144
