forecast_model,policy,C1_baseline,C2_safety,C3_throughput
graphwavenet_transfer,concat_global,0.6684848484848485,0.6684848484848485,1.336969696969697
graphwavenet_transfer,reliability_fusion_conflict_stratified,0.5875757575757575,0.5875757575757575,1.175151515151515
graphwavenet_transfer,three_source_excl_local_conflict_stratified,0.476060606060606,0.476969696969697,0.9502424242424244
linear_window,concat_global,0.8053939393939393,0.8053939393939393,1.6103030303030301
linear_window,reliability_fusion_conflict_stratified,0.6933333333333334,0.6933333333333334,1.3701818181818182
linear_window,three_source_excl_local_conflict_stratified,0.4281212121212121,0.4281212121212121,0.8463030303030302
patchtst_small,concat_global,0.8640000000000001,0.8640000000000001,1.7277575757575758
patchtst_small,reliability_fusion_conflict_stratified,0.7313939393939395,0.7313939393939395,1.3985454545454545
patchtst_small,three_source_excl_local_conflict_stratified,0.3947878787878788,0.3947878787878788,0.784969696969697
regional_doy_climatology,concat_global,0.29539393939393943,0.29539393939393943,0.5907878787878789
regional_doy_climatology,reliability_fusion_conflict_stratified,0.34678787878787876,0.34678787878787876,0.6935757575757575
regional_doy_climatology,three_source_excl_local_conflict_stratified,0.3424848484848485,0.3424848484848485,0.684969696969697
spatial_knn_ridge,concat_global,0.535939393939394,0.7135151515151515,0.8928484848484849
spatial_knn_ridge,reliability_fusion_conflict_stratified,0.5406666666666666,0.540969696969697,1.0301212121212122
spatial_knn_ridge,three_source_excl_local_conflict_stratified,0.40369696969696967,0.42127272727272724,0.744969696969697
stgcn_diffusion,concat_global,0.7774545454545454,0.7774545454545454,1.5549090909090908
stgcn_diffusion,reliability_fusion_conflict_stratified,0.7163636363636363,0.7163636363636363,1.432242424242424
stgcn_diffusion,three_source_excl_local_conflict_stratified,0.49600000000000005,0.49600000000000005,0.9920000000000001
