canonical_station_uid,source_region,target_region,cell5,mae_out_minus_in,risk_class,p_safe,p_moderate,p_high,predicted_risk_class,recommendation
eur_ecad_01::27314,NEU,MED,35_-10,0.3779958787576367,high,0.0003562512727283163,0.00030365346612894705,0.9993400952611428,high,retrain
eur_ecad_01::27414,WCE,MED,35_-5,0.1959866104703707,high,0.00011895282405263826,0.09673920299325478,0.903141844182693,high,retrain
eur_ecad_01::27414,NEU,MED,35_-5,0.3457345364693029,high,2.3984541488227886e-05,0.0011613135437892979,0.9988147019147227,high,retrain
eur_ecad_01::27417,WCE,MED,35_-5,0.2030099083861545,high,0.0009073259969143955,0.06095384745449825,0.9381388265485877,high,retrain
eur_ecad_01::27417,NEU,MED,35_-5,0.3406284755430651,high,0.0003990959244731536,0.001079071367997358,0.9985218327075297,high,retrain
eur_ecad_01::24152,MED,WCE,45_10,0.0901878055282239,moderate,0.3235638359936052,0.6142096122280047,0.06222655177839031,moderate,adapt
eur_ecad_01::24152,NEU,WCE,45_10,0.0723146779146448,moderate,0.057513544081394384,0.8083906508670906,0.13409580505151575,moderate,adapt
eur_ecad_01::24153,MED,WCE,45_10,0.0839973111996945,moderate,0.3506077506797301,0.5938553939311688,0.05553685538910171,moderate,adapt
eur_ecad_01::24153,NEU,WCE,45_10,0.0690405785877166,moderate,0.0601399138271741,0.8169323421329151,0.12292774403991141,moderate,adapt
eur_ecad_01::27050,WCE,MED,40_-5,0.1210064171656117,moderate,0.03162992189049101,0.15942963231364585,0.808940445795863,high,retrain
eur_ecad_01::27050,NEU,MED,40_-5,0.1459261058026406,high,0.06732055670886376,0.10043369914107374,0.8322457441500622,high,retrain
eur_ecad_01::27051,WCE,MED,40_-5,0.0984930998683069,moderate,0.08912452692839459,0.20770262130570408,0.7031728517659009,high,retrain
eur_ecad_01::27051,NEU,MED,40_-5,0.1389905274635725,high,0.11331355672951487,0.09523136039147,0.7914550828790149,high,retrain
eur_ecad_01::26680,MED,NEU,60_10,-0.0191397742499863,safe,0.8743405736238674,0.09895590731766134,0.02670351905847109,safe,deploy
eur_ecad_01::26680,WCE,NEU,60_10,-0.0958730482744525,safe,0.8849160204477502,0.10293746228703789,0.012146517265212065,safe,deploy
eur_ecad_01::26681,MED,NEU,60_10,-0.0903554646487121,safe,0.8500935052823188,0.06746154223272698,0.08244495248495418,safe,deploy
eur_ecad_01::26681,WCE,NEU,60_10,-0.085266870199836,safe,0.7151798041596099,0.23854352132695203,0.046276674513437886,safe,deploy
eur_ecad_01::26829,WCE,MED,35_0,0.2274556825809868,high,0.001298647695993804,0.037316675195842086,0.9613846771081646,high,retrain
eur_ecad_01::26829,NEU,MED,35_0,0.3105083535692983,high,0.0008371992388173611,0.001411072990692959,0.9977517277704899,high,retrain
eur_ecad_01::27572,WCE,MED,40_-5,0.1413145407155491,high,0.06594716783105918,0.17555287934676772,0.7584999528221726,high,retrain
eur_ecad_01::27572,NEU,MED,40_-5,0.239229902299177,high,0.05698718156166697,0.014424208778548685,0.9285886096597842,high,retrain
eur_ecad_01::27317,WCE,MED,35_-10,0.2932792385855518,high,0.00020352614372517403,0.008858381919547286,0.9909380919367274,high,retrain
eur_ecad_01::27317,NEU,MED,35_-10,0.3786716787364006,high,9.168054981306768e-05,7.494780255375109e-05,0.9998333716476333,high,retrain
eur_ecad_01::27318,WCE,MED,35_-10,0.2723115675719216,high,0.0010258840510792033,0.023832748753738215,0.9751413671951829,high,retrain
eur_ecad_01::27318,NEU,MED,35_-10,0.3720076761322684,high,0.0004392571329005569,0.0005291283119961576,0.9990316145551031,high,retrain
eur_ecad_01::27320,WCE,MED,35_-10,0.2655812533965824,high,0.0007948439151526912,0.034407722792361206,0.9647974332924864,high,retrain
eur_ecad_01::27320,NEU,MED,35_-10,0.3741960034360452,high,0.0005460954010233248,0.0011699713960057032,0.9982839332029708,high,retrain
eur_ecad_01::24843,MED,WCE,45_10,0.1102763640746031,moderate,0.17600495274514108,0.7793692273659986,0.04462581988885914,moderate,adapt
