ar6_region,cell5,n_stations,latitude_mean,latitude_std,latitude_median,longitude_mean,longitude_std,longitude_median,n_obs_train_mean,n_obs_train_std,n_obs_train_median,wet_day_fraction_gt1mm_mean,wet_day_fraction_gt1mm_std,wet_day_fraction_gt1mm_median,wet_day_mean_intensity_mean,wet_day_mean_intensity_std,wet_day_mean_intensity_median,daily_precip_cv_mean,daily_precip_cv_std,daily_precip_cv_median,monthly_climatology_amplitude_mean,monthly_climatology_amplitude_std,monthly_climatology_amplitude_median,top3_month_precip_fraction_mean,top3_month_precip_fraction_std,top3_month_precip_fraction_median,occurrence_lag1_autocorr_mean,occurrence_lag1_autocorr_std,occurrence_lag1_autocorr_median,wet_intensity_lag1_autocorr_mean,wet_intensity_lag1_autocorr_std,wet_intensity_lag1_autocorr_median,dry_spell_mean_days_mean,dry_spell_mean_days_std,dry_spell_mean_days_median,dry_spell_p95_days_mean,dry_spell_p95_days_std,dry_spell_p95_days_median,wet_day_p95_mean,wet_day_p95_std,wet_day_p95_median,wet_day_p99_mean,wet_day_p99_std,wet_day_p99_median,extreme_tail_ratio_p99_p95_mean,extreme_tail_ratio_p99_p95_std,extreme_tail_ratio_p99_p95_median,coverage_threshold_mean,coverage_threshold_std,coverage_threshold_median
CNA,25_-100,7,29.500857142857143,0.45806788018496114,29.6197,-96.06447142857142,1.115159731031516,-95.6575,2900.5714285714284,24.9122268699337,2904.0,0.17855348169124105,0.02521427070487898,0.1893939393939394,16.31527219880403,0.8945138343240349,16.64409937888199,3.810707402561349,0.45573181668447166,3.6198626659305426,935.5,177.2995205859283,969.9000000000001,0.3759114515761774,0.023289036824528594,0.3631332429434242,0.20750000630514706,0.0167823403540946,0.20531357164036737,0.10843908080059597,0.05660021088786123,0.08807367527751374,7.167231174925729,1.3021466689786243,6.571030640668524,21.199999999999996,4.954459270865659,19.399999999999977,55.66571428571426,5.59147820986797,54.9,101.96157142857136,19.934067738899834,104.6969999999996,1.832607158584429,0.32317395122993725,1.8074666666666663,95.0,0.0,95.0
CNA,25_-95,4,29.781025,0.34259845665151484,29.92815,-93.284725,2.0458637155245696,-93.99844999999999,2910.75,21.187653637594426,2921.0,0.2029510669568345,0.025746533242273047,0.2046119686112397,16.708934275989463,1.032502430640939,17.000760640433647,3.3504904891170915,0.16161859036676868,3.3034143459224614,1230.6999999999998,361.13617930082836,1308.4499999999998,0.38445231001725666,0.017681987119676848,0.383171167258948,0.19482851175755955,0.005372837692438052,0.19507053087937637,0.0887918775712396,0.04094077637297058,0.09581724339389762,6.173246156240504,0.8307150678158305,6.015813273493812,18.924999999999997,2.454078238361606,18.849999999999994,57.12499999999999,6.99467059028991,57.83749999999999,98.31200000000005,15.276594493974613,103.37000000000003,1.7301965421145749,0.272650859302119,1.7357883563769043,95.0,0.0,95.0
CNA,30_-100,41,32.201973170731705,1.3456914051936992,32.3586,-97.44204390243902,1.3058164543780242,-97.3203,2902.0731707317073,25.84123666148994,2916.0,0.14836144348246214,0.02313060842442123,0.14476386036960986,14.474993426823492,1.182519104491322,14.533653846153847,3.954075939073228,0.3541265857217715,3.997476600070032,584.1804878048781,117.77331875155804,585.4,0.36505277372154793,0.026451570617236846,0.3615886930852491,0.21691931396920858,0.0242499201497853,0.21525429724156359,0.03640757998527754,0.050671798108768,0.03297102892267711,8.646131646540717,1.3378762859839133,8.609154929577464,26.062195121951213,4.584331746391788,27.0,47.4721951219512,5.121916883450524,47.79999999999998,83.67817073170727,12.165970963927263,81.14999999999995,1.7687288419627396,0.22944002545721673,1.7496535796766732,95.0,0.0,95.0
CNA,30_-105,19,33.696110526315785,0.7678594163102861,33.6608,-101.39435263157895,0.8885050836898404,-101.3747,2893.5263157894738,43.80051803480135,2911.0,0.11758491060606731,0.008497938234502149,0.11744386873920552,11.536699031799586,1.262400464625363,11.405013927576602,4.403396601651018,0.3762241802949348,4.367415859253514,580.5368421052632,70.23974982971073,559.2,0.4232089268727671,0.025972302767765472,0.4145012348330291,0.20923936430347587,0.026613812207161858,0.20495769363328398,0.10700980402352034,0.05687275586909767,0.10361474971180736,10.661551640064342,0.6649671509547348,10.620689655172415,33.45526315789472,3.5267586132012805,33.0,37.505263157894724,4.500143971056249,37.725,66.64505263157893,13.310372289950273,67.28799999999998,1.7722715386233474,0.26126851667203865,1.7736140954018114,95.0,0.0,95.0
CNA,30_-95,41,32.9807512195122,1.4481125053188975,33.4561,-92.79559268292682,1.345215914898095,-92.8142,2899.048780487805,38.02824688275301,2917.0,0.20685814421553325,0.019471956076233053,0.2080766598220397,16.207817627134776,1.5498431073905063,16.02391608391608,3.215323440753323,0.16600756080569323,3.221504194341276,691.2243902439025,178.96086413024466,689.4999999999999,0.3293668844953725,0.018276981698795304,0.3253080494446294,0.17719418747945512,0.02025829720295105,0.1781539299328371,0.052750551400073654,0.04363694684812624,0.045008810114437296,5.866420726636789,0.5800165880603183,5.793532338308458,16.495121951219506,1.9015390108425585,16.0,52.41414634146341,4.615280314135728,51.644999999999946,91.58843902439021,12.045534820108191,89.29200000000029,1.7473593101172482,0.1722531368528682,1.7224313725490206,95.0,0.0,95.0
CNA,35_-100,23,37.46034347826087,1.3594641791482978,37.165,-97.08054782608697,1.4676346312316693,-97.0914,2913.8695652173915,15.049326012773303,2919.0,0.16718628264667013,0.0255058230632777,0.1695786228160329,13.029543065035705,1.5289086790785544,13.250101010101012,3.675678316758109,0.39298138979633723,3.4786391991772065,856.8565217391305,187.09045412237205,836.9000000000001,0.41447145139447406,0.031148469720644,0.4093562892847382,0.19686659526682226,0.017847560878591923,0.19379511425337423,0.046956633168298824,0.04336376821590726,0.04030938046268906,7.550978790243006,1.3438471213925909,7.382262996941896,22.51521739130434,6.073871664436721,21.0,42.926086956521715,5.714908922467164,43.69,73.7230869565217,13.34501144423038,75.2,1.7161746480772577,0.1957059834682291,1.684836569181618,95.0,0.0,95.0
CNA,35_-105,42,37.911764285714284,1.6070099365002224,38.315250000000006,-103.39992142857143,1.3293734925521659,-103.63445,2889.2380952380954,39.24520136818932,2909.0,0.12581393188156506,0.02275599502265002,0.1218343600273785,8.285545607581716,1.223111130600815,8.062921768707481,4.0783537537334595,0.42123452400771727,4.124576588593243,522.1619047619048,103.56272036762036,523.95,0.47331671057264896,0.050637869472569305,0.46982152103115327,0.18303471860807533,0.024797694574930723,0.18746529351040056,0.08531896662859419,0.0707290045533593,0.09224875018650341,9.745329429601936,1.7086922170894079,9.906840136412121,30.29523809523808,6.542840152334546,30.374999999999957,26.491071428571423,4.461421699429381,25.319999999999983,44.79542857142857,9.307397228962586,43.028999999999996,1.697812730717727,0.24802510233402075,1.6898879668492954,95.0,0.0,95.0
CNA,35_-95,65,37.02778923076924,1.558603448816745,36.4947,-92.31373538461538,1.4298728804327736,-92.3828,2894.1384615384613,35.46515760357125,2913.0,0.2176662315923145,0.01600677823476886,0.21743625086147483,14.44400246059523,1.8358053094471327,14.272900158478604,3.0588619100888725,0.1432475760316779,3.057715856743026,706.6938461538462,152.6849410110194,690.0999999999999,0.34517571171503686,0.02537162486345023,0.34014574002115905,0.18907490652999567,0.01962664179103055,0.18865198067379976,0.062488750447797926,0.045205621401197944,0.06286552278407116,5.615665883719299,0.4051801735242634,5.577017114914425,15.612307692307688,1.1460881418312239,15.25,46.40323076923075,6.082106660548507,46.24999999999996,77.6802923076923,11.221566226917494,78.96499999999989,1.6771740945442868,0.1478742614790123,1.6872877846790888,95.0,0.0,95.0
CNA,40_-100,65,41.36745076923077,1.2110038723259555,41.0319,-97.79278615384615,1.230206091204456,-97.5903,2903.230769230769,36.34890353864261,2921.0,0.17502256033388605,0.012506289462307042,0.17735849056603772,10.935548247252786,1.0251663994608233,10.805688073394494,3.505950061934626,0.19910721271475207,3.485790955050507,843.5107692307691,94.444921321697,846.4,0.44760413527612114,0.03042045493144313,0.4504104021464747,0.17948582551508388,0.020651948116607723,0.18010540184453258,0.06570179336445821,0.04956920654263533,0.057193319932820556,6.929116489449326,0.5626735575868042,6.78125,22.225384615384606,3.46150846675038,21.0,36.11646153846153,3.543504480370221,36.199999999999974,61.28136923076921,8.593189197282264,60.427999999999926,1.699846116226126,0.20009805308766537,1.6717086834734,95.0,0.0,95.0
CNA,40_-105,50,41.615454,1.4106939661769875,41.1397,-102.68626599999999,1.661692643257816,-102.759,2891.42,43.99725872722301,2914.5,0.15663708762773834,0.042603541980345876,0.15059816509667126,8.165229695225424,1.369054987864977,8.057478065295482,3.6923722881967036,0.4212885973633619,3.704587505560272,631.432,163.31330405583202,679.8499999999999,0.46790146471901223,0.037508013532354854,0.46989944837492675,0.20105276392068971,0.023208637015312023,0.19840150214112273,0.10822649624602237,0.06018673519145457,0.11667426312471872,8.238154605657401,1.5974137195125029,8.222408026755852,27.107999999999993,6.256118311423672,27.0,27.05459999999999,5.1013022387045694,27.317500000000003,44.685379999999995,8.044359575199389,43.2625,1.6662480867865812,0.19502994921951486,1.6464381196852813,95.0,0.0,95.0
