forecast_model,policy,n_pairs,point_r2,alpha,target_coverage,empirical_coverage,mean_bound_width,deploy_rate,adapt_rate,retrain_rate,unsafe_deploy_rate,mean_cost
graphwavenet_transfer,concat_global,110,0.840597429471382,0.2,0.8,0.8023030303030303,0.018169094340066697,0.0001818181818181818,0.022666666666666665,0.9771515151515153,0.0,0.6235151515151516
graphwavenet_transfer,concat_global,110,0.840597429471382,0.1,0.9,0.9133333333333333,0.04123150951814353,0.0,0.00030303030303030303,0.9996969696969698,0.0,0.6569090909090909
graphwavenet_transfer,concat_global,110,0.840597429471382,0.05,0.95,0.9634545454545453,0.05368948535555501,0.0,0.0,1.0,0.0,0.6555757575757575
graphwavenet_transfer,fixed_source_fusion_global,110,0.8930392036134814,0.2,0.8,0.8044242424242425,0.01998588222903809,0.0,0.00048484848484848484,0.9995151515151516,0.0,0.6657575757575758
graphwavenet_transfer,fixed_source_fusion_global,110,0.8930392036134814,0.1,0.9,0.909939393939394,0.03409210399198264,0.0,0.0,1.0,0.0,0.67
graphwavenet_transfer,fixed_source_fusion_global,110,0.8930392036134814,0.05,0.95,0.9645454545454546,0.04379283218752821,0.0,0.0,1.0,0.0,0.662
graphwavenet_transfer,reliability_fusion_global,110,0.8795056690818791,0.2,0.8,0.806,0.02093332390840824,0.0,0.0,1.0,0.0,0.656
graphwavenet_transfer,reliability_fusion_global,110,0.8795056690818791,0.1,0.9,0.9096363636363636,0.03584570944405888,0.0,0.0,1.0,0.0,0.6521818181818182
graphwavenet_transfer,reliability_fusion_global,110,0.8795056690818791,0.05,0.95,0.9631515151515151,0.04575589883388199,0.0,0.0,1.0,0.0,0.6583030303030303
graphwavenet_transfer,reliability_fusion_conflict_stratified,110,0.8795056690818791,0.2,0.8,0.8289696969696969,0.02160387483292596,0.00012121212121212121,0.07024242424242425,0.9296363636363636,0.0,0.5525454545454545
graphwavenet_transfer,reliability_fusion_conflict_stratified,110,0.8795056690818791,0.1,0.9,0.9389090909090909,0.029183180353901453,0.0,0.037575757575757575,0.9624242424242425,0.0,0.5909696969696969
graphwavenet_transfer,reliability_fusion_conflict_stratified,110,0.8795056690818791,0.05,0.95,0.9530303030303031,0.030246623559172386,0.0,0.01606060606060606,0.9839393939393941,0.0,0.6306060606060605
graphwavenet_transfer,three_source_excl_local_global,110,0.65775810485374,0.2,0.8,0.8055757575757576,0.019884737043974525,0.0,0.02509090909090909,0.974909090909091,0.0,0.6089696969696969
graphwavenet_transfer,three_source_excl_local_global,110,0.65775810485374,0.1,0.9,0.9102424242424242,0.04554091473500112,0.0,0.0,1.0,0.0,0.6693333333333333
graphwavenet_transfer,three_source_excl_local_global,110,0.65775810485374,0.05,0.95,0.9638787878787878,0.05808696689629921,0.0,0.0,1.0,0.0,0.6673939393939393
graphwavenet_transfer,three_source_excl_local_conflict_stratified,110,0.65775810485374,0.2,0.8,0.8204242424242424,0.02108444646982791,0.0329090909090909,0.15193939393939393,0.8151515151515152,0.04546722454672245,0.4237575757575758
graphwavenet_transfer,three_source_excl_local_conflict_stratified,110,0.65775810485374,0.1,0.9,0.9323636363636365,0.029288504050846386,0.009151515151515152,0.10121212121212123,0.8896363636363638,0.008152173913043478,0.4926060606060605
graphwavenet_transfer,three_source_excl_local_conflict_stratified,110,0.65775810485374,0.05,0.95,0.9453333333333334,0.029960865064251763,0.001818181818181818,0.09430303030303029,0.9038787878787877,0.018181818181818184,0.5114545454545455
linear_window,concat_global,110,-2.1140998338096217,0.2,0.8,0.7991515151515152,0.006279899523086363,0.06545454545454547,0.37327272727272726,0.5612727272727273,0.0,0.43327272727272725
linear_window,concat_global,110,-2.1140998338096217,0.1,0.9,0.9113939393939394,0.01643596051831849,0.0030303030303030307,0.19703030303030303,0.799939393939394,0.0,0.7855757575757575
linear_window,concat_global,110,-2.1140998338096217,0.05,0.95,0.9664848484848485,0.03868167683214103,6.0606060606060605e-05,0.011393939393939394,0.9885454545454545,0.0,1.1378181818181818
linear_window,fixed_source_fusion_global,110,0.21747778794590888,0.2,0.8,0.8066060606060605,0.012437560876174994,0.00024242424242424242,0.16012121212121214,0.8396363636363636,0.0,0.8373939393939395
linear_window,fixed_source_fusion_global,110,0.21747778794590888,0.1,0.9,0.9144848484848486,0.027110704200217252,0.0,0.003636363636363636,0.9963636363636365,0.0,1.1436969696969697
linear_window,fixed_source_fusion_global,110,0.21747778794590888,0.05,0.95,0.9643636363636364,0.05356381251952596,0.0,0.0,1.0,0.0,1.1446666666666665
linear_window,reliability_fusion_global,110,0.21702470549707353,0.2,0.8,0.8013333333333332,0.011045449399246893,0.00012121212121212121,0.2138181818181818,0.786060606060606,0.0,0.7555151515151515
linear_window,reliability_fusion_global,110,0.21702470549707353,0.1,0.9,0.911151515151515,0.02430677994397567,0.0,0.012606060606060607,0.9873939393939395,0.0,1.1213333333333333
linear_window,reliability_fusion_global,110,0.21702470549707353,0.05,0.95,0.959939393939394,0.046389720998973795,0.0,0.00030303030303030303,0.9996969696969696,0.0,1.1455151515151514
linear_window,reliability_fusion_conflict_stratified,110,0.21702470549707353,0.2,0.8,0.8341818181818181,0.01692312529712099,0.05254545454545455,0.27145454545454545,0.6759999999999999,0.0,0.6402424242424242
linear_window,reliability_fusion_conflict_stratified,110,0.21702470549707353,0.1,0.9,0.9420000000000001,0.028016031436790538,0.00896969696969697,0.2639393939393939,0.7270909090909091,0.0,0.7068484848484848
linear_window,reliability_fusion_conflict_stratified,110,0.21702470549707353,0.05,0.95,0.9552727272727272,0.02863445770956952,0.001090909090909091,0.22290909090909092,0.776,0.0,0.7485454545454545
linear_window,three_source_excl_local_global,110,0.009983727274342269,0.2,0.8,0.7981818181818181,0.007385962995049514,0.05763636363636363,0.3547878787878788,0.5875757575757575,0.00037313432835820896,0.4678787878787879
linear_window,three_source_excl_local_global,110,0.009983727274342269,0.1,0.9,0.9115757575757577,0.017527863422510618,0.000909090909090909,0.17981818181818182,0.8192727272727272,0.0,0.7969090909090909
linear_window,three_source_excl_local_global,110,0.009983727274342269,0.05,0.95,0.965090909090909,0.03034155314363241,0.0,0.023151515151515152,0.9768484848484846,0.0,1.1224242424242425
linear_window,three_source_excl_local_conflict_stratified,110,0.009983727274342269,0.2,0.8,0.8306666666666668,0.010098911401299654,0.15036363636363637,0.2853333333333333,0.5643030303030304,0.0,0.3389090909090909
linear_window,three_source_excl_local_conflict_stratified,110,0.009983727274342269,0.1,0.9,0.9403030303030304,0.018373462053732158,0.0890909090909091,0.27703030303030296,0.6338787878787877,0.0,0.4382424242424242
linear_window,three_source_excl_local_conflict_stratified,110,0.009983727274342269,0.05,0.95,0.9478787878787879,0.01827901587398508,0.0696969696969697,0.2927272727272727,0.6375757575757575,0.0,0.4623636363636363
patchtst_small,concat_global,110,0.8394882762889876,0.2,0.8,0.7984848484848486,0.007766291949464859,0.01939393939393939,0.3578181818181818,0.6227878787878787,0.0,0.5417575757575757
patchtst_small,concat_global,110,0.8394882762889876,0.1,0.9,0.9107878787878788,0.0172724355729725,6.0606060606060605e-05,0.16418181818181818,0.8357575757575758,0.0,0.8591515151515151
patchtst_small,concat_global,110,0.8394882762889876,0.05,0.95,0.9627272727272728,0.03115725740556267,0.0,0.01909090909090909,0.9809090909090911,0.0,1.1346666666666665
patchtst_small,fixed_source_fusion_global,110,0.7770831800672173,0.2,0.8,0.8066666666666668,0.014631059745712827,0.0,0.12357575757575759,0.8764242424242424,0.0,0.9300000000000002
patchtst_small,fixed_source_fusion_global,110,0.7770831800672173,0.1,0.9,0.912,0.03485725680826067,0.0,0.002727272727272727,0.9972727272727273,0.0,1.1741212121212121
patchtst_small,fixed_source_fusion_global,110,0.7770831800672173,0.05,0.95,0.9638787878787878,0.06236401762425538,0.0,0.0,1.0,0.0,1.1833939393939394
patchtst_small,reliability_fusion_global,110,0.7605792956555038,0.2,0.8,0.8009090909090909,0.015297326594039309,0.00012121212121212121,0.10606060606060606,0.8938181818181817,0.0,0.9643030303030303
patchtst_small,reliability_fusion_global,110,0.7605792956555038,0.1,0.9,0.9123030303030303,0.03625274935215647,0.0,0.0019393939393939393,0.998060606060606,0.0,1.1646666666666665
