forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2,seed_label
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,5826,23,0.0162820043659405,-0.242121578192842,large_s2
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,5826,23,0.0094011389182146,0.6168462350263504,large_s2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,5826,12,0.0372703456543568,-2.5073414407662757,large_s3
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,5826,12,0.0207298019260765,-1.002080758976413,large_s3
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,5826,11,0.0864023634071117,-11.418587494988731,large_s3
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,5826,11,0.0194514849637642,-0.1962448177922291,large_s3
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,5826,23,0.0521628841351315,-4.152260737613073,large_s3
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,5826,23,0.023217574957769,-0.9472023824045512,large_s3
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,5826,12,0.0170265686426925,0.1674770435418515,large_s3
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,5826,12,0.0111417532015776,0.5227541350237579,large_s3
graphwavenet_transfer,generic_shift,group_by_cell,ridge,5826,11,0.0150319570882206,0.0500838158033315,large_s3
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,5826,11,0.0152786940303342,0.0467063931555574,large_s3
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,5826,23,0.0178826206660305,0.1981741311451753,large_s3
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,5826,23,0.0101629457784953,0.5903720559357623,large_s3
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,5826,12,0.0392643584103795,-2.239143894032933,large_s3
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,5826,12,0.0277408460359881,-0.9049444281898488,large_s3
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,5826,11,0.0354239922861762,-1.0233563166265278,large_s3
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,5826,11,0.0184478770240882,0.0081138494138293,large_s3
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,5826,23,0.0411461141030398,-2.372524994448426,large_s3
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,5826,23,0.0338228482925708,-1.3091693265197653,large_s3
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,5826,12,0.0203057486373111,0.1575365662675336,large_s3
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,5826,12,0.0157854792429956,0.5283269989184487,large_s3
stgcn_diffusion,generic_shift,group_by_cell,ridge,5826,11,0.0198969690674804,-0.0060040551839262,large_s3
stgcn_diffusion,generic_shift,group_by_cell,random_forest,5826,11,0.0202575122917859,-0.0134276751954953,large_s3
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,5826,23,0.0205453058865775,0.1513534852915673,large_s3
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,5826,23,0.011488781842946,0.6568970471515179,large_s3
