model,r2_phys,r2_phys_perm,phys_signal_loss,r2_shift,r2_comb,combined_gain,combined_gain_perm,gain_loss
spatial_knn_ridge,0.3003273753991823,-0.05680437664732998,0.35713175204651226,0.6554572612993153,0.8234071723433979,0.16794991104408263,-0.013275252579445063,0.1812251636235277
stgcn_diffusion,0.2146739559750772,-0.04794701770365406,0.2626209736787313,0.03368196330701656,0.31092567920089575,0.2772437158938792,-0.03244161072364497,0.3096853266175242
graphwavenet_transfer,0.24868560330080924,-0.05410618552165025,0.3027917888224595,0.15795260003944578,0.3356162809730773,0.1776636809336315,-0.028934662825485014,0.2065983437591165
regional_doy_climatology,0.07665373988419832,-0.05140004336540427,0.1280537832496026,0.9653139195293959,0.8845399246444878,-0.0807739948849081,-0.0008764043364147822,-0.07989759054849332
