forecast_model,pearson_r_conflict3_abs_err,pearson_p,abs_err_low,abs_err_mid,abs_err_high
graphwavenet_transfer,0.6730829444258964,7.963100727483357e-16,0.013338426211672064,0.021492919793779028,0.06232178610277763
linear_window,0.8816360906955135,5.20685955581351e-37,0.005042889470281364,0.009358238015307538,0.038840242957500465
patchtst_small,0.7528075018977392,2.455408026622159e-21,0.006617793429090774,0.012133733371872216,0.02464822885616338
regional_doy_climatology,0.44598019632095104,1.0455911107612937e-06,0.021585055374087846,0.060037956457657464,0.18383972343486205
spatial_knn_ridge,0.7161947475021512,1.4296071485718952e-18,0.009075331420667394,0.014646043349455823,0.03028728051964299
stgcn_diffusion,0.4837164648850623,8.638782538738088e-08,0.011010280644396006,0.01524069160757311,0.05691215748025619
