cv_kind,forecast_model,n,n_clusters,r2_label_free_agreement,r2_label_free_agreement_lo,r2_label_free_agreement_hi,r2_label_free_agreement_cold,r2_label_free_agreement_cold_lo,r2_label_free_agreement_cold_hi,r2_physical_plus_shift,r2_physical_plus_shift_lo,r2_physical_plus_shift_hi,r2_physical_plus_shift_plus_agreement,r2_physical_plus_shift_plus_agreement_lo,r2_physical_plus_shift_plus_agreement_hi,r2_physical_plus_shift_plus_agreement_cold,r2_physical_plus_shift_plus_agreement_cold_lo,r2_physical_plus_shift_plus_agreement_cold_hi,delta_add,delta_add_lo,delta_add_hi,p_add,delta_add_cold,delta_add_cold_lo,delta_add_cold_hi,p_add_cold,delta_fused_minus_agree,delta_fma_lo,delta_fma_hi,p_add_holm,p_add_cold_holm
group_by_cell,graphwavenet_transfer,158760,537,0.6559641625102137,0.5757768855240694,0.7181566902008976,0.5004860800583957,0.4213797560019264,0.566676044319724,0.34048734903526023,0.2901055761342869,0.38289365892244276,0.6578377193324711,0.5783345372667948,0.7262812162914697,0.574393358940416,0.5086282740338942,0.6343552593853542,0.3173503702972109,0.23354346740456022,0.39801300046761745,0.0,0.23390600990515575,0.165663441452489,0.3055663684369246,0.0,-0.3154768134749535,-0.39393184410975746,-0.23077380149333102,0.0,0.0
group_by_cell,linear_window,158760,537,0.23351349218159712,0.16008012087231366,0.29778994704146267,0.22274020087885305,0.15563156501658373,0.2843724746822356,0.028336317273841893,-0.17212224007207563,0.1821623511815986,0.1536761173306116,0.014089925788790744,0.26720465096738116,0.160370749007556,0.04515076413616804,0.2589713368444155,0.1253398000567697,0.0654908199921225,0.1979548662400255,0.0,0.1320344317337141,0.057803718812366456,0.22424347200333486,0.0,-0.20517717490775522,-0.3508183086036722,-0.07811238549478228,0.0,0.0
group_by_cell,patchtst_small,158760,537,0.3338095272506858,0.2632796219820283,0.39397796819154673,0.3188871973082944,0.251736664975369,0.37653847963948717,0.274877872864718,0.21669470941384342,0.33235108388255236,0.34684795875442753,0.2852517165215041,0.4061465693411257,0.3442120710495664,0.2818177939451327,0.40385290282094716,0.07197008588970955,0.04891568689676826,0.09290562894746152,0.0,0.06933419818484843,0.0500158705116553,0.08572098188028111,0.0,-0.05893165438596781,-0.09664189134844131,-0.014632704046904985,0.0,0.0
group_by_cell,regional_doy_climatology,158760,537,0.8634423865618404,0.8224384573750326,0.8958668625114603,0.957012389554844,0.9433003095340456,0.9676876702010263,0.8845399246444878,0.7641429174517052,0.9821720898282359,0.9894113563798155,0.984417088543418,0.9934519052587121,0.9895426745779178,0.9845884193093752,0.993539129709566,0.10487143173532765,0.010954519867035351,0.22084921221534498,0.0,0.10500274993342995,0.011175194963088225,0.22090741266455316,0.0,0.02109753808264747,-0.060751578741199457,0.08809531554870743,0.0,0.0
group_by_cell,spatial_knn_ridge,158760,537,0.6393008494220442,0.5825855895960538,0.6901290262509424,0.5918375186683188,0.522942421135202,0.6552613119194293,0.8234071723433979,0.7946244125248134,0.8498070868397803,0.8434902792529233,0.8073530730460104,0.8749216461372107,0.8462994361536323,0.8137338632736931,0.8759357461700886,0.020083106909525417,0.0024873510183217873,0.03730963711780631,0.016,0.02289226381023446,0.008776300153031328,0.03769458446366057,0.0005,0.18410632292135365,0.14461394321356985,0.22592623683679916,0.016,0.0005
group_by_cell,stgcn_diffusion,158760,537,0.39566740420713054,0.2854589462235431,0.48856675929598065,0.3225353613623714,0.2396988293281099,0.4004440888810288,0.32970451847405824,0.2562766760548502,0.39683628508539515,0.5277262611915526,0.45473214886584096,0.5873004572249634,0.48670926517237567,0.4184479408256983,0.5463499959524549,0.1980217427174944,0.11282678096200294,0.27847880166072236,0.0,0.15700474669831743,0.08016720177838763,0.23370007859634356,0.0,-0.0659628857330723,-0.1701181202858884,0.03543158035432692,0.0,0.0
leave_target_region_out,graphwavenet_transfer,158760,537,0.4845156976376014,0.38945346504471257,0.5595287247241831,0.24609395791639677,0.15768239538638082,0.31285956577747837,0.14318078376883847,0.081547837290358,0.19721058178850662,0.23811744865782147,0.08152661307569375,0.360225966011588,0.04667115582642456,-0.13873385065669022,0.20051429547154737,0.094936664888983,-0.04266660204434818,0.2094017446940975,0.0735,-0.09650962794241391,-0.25958306513197577,0.04660663518473474,0.901,-0.3413349138687629,-0.4256700633928148,-0.24780492369152657,0.147,0.901
leave_target_region_out,linear_window,158760,537,0.21801210541861626,0.1432944750851614,0.2822862679373929,0.20367861549336164,0.13578617704907836,0.26522048689819216,-0.2027300757713495,-0.6243503636162232,0.12522292778320177,0.07876102944943297,-0.14940289589502076,0.24702874908217518,0.11589106812726657,-0.04694007987816985,0.2364258304086353,0.28149110522078247,0.1241593513516612,0.4794701494012895,0.0,0.31862114389861607,0.11114616575077725,0.5873427663243701,0.0,-0.42074218118996576,-0.7930158637240972,-0.1214417278454281,0.0,0.0
leave_target_region_out,patchtst_small,158760,537,0.3022259750295839,0.2344534785216041,0.356212635979978,0.2838703142963891,0.21774541925287608,0.33746431092395496,0.12513401926434775,0.041764141871317675,0.1920437461159039,0.3038116849975473,0.24389013192213924,0.35531481313799174,0.27140970949013254,0.19356604318736628,0.33543698926108273,0.17867766573319954,0.13708174530896766,0.21948128798234917,0.0,0.1462756902257848,0.11984260789424678,0.17130266371334868,0.0,-0.17709195576523618,-0.22941234355789375,-0.12110830429497951,0.0,0.0
leave_target_region_out,regional_doy_climatology,158760,537,0.8204071745674871,0.7766741812045488,0.8542106658155539,0.7649837851793143,0.7091950385469786,0.8086455115238167,-0.6954843555455903,-1.0420150311096779,-0.40965499652498144,0.576086403221113,0.3750642111035739,0.7286688565100028,0.5589923110250703,0.3489088311658944,0.7176245939094205,1.2715707587667033,1.0904941113271522,1.4577251487612577,0.0,1.2544766665706606,1.0737049055576524,1.4326486052427756,0.0,-1.5158915301130773,-1.818445412980122,-1.2586787571828175,0.0,0.0
leave_target_region_out,spatial_knn_ridge,158760,537,0.34789909096552085,0.24540208739487454,0.43870283109201835,0.20626125329490375,0.031045067535721806,0.3551609663958527,-0.9694693220678348,-1.095178766474094,-0.8528114850579632,0.009415811114956485,-0.053621033645496925,0.06115556914176818,-0.0005003211210092839,-0.06631242767157401,0.05357212586565649,0.9788851331827912,0.8351630627047506,1.1249538012966311,0.0,0.9689690009468255,0.8254557299326621,1.1169647371168057,0.0,-1.3173684130333556,-1.4813560555220537,-1.1539165341376416,0.0,0.0
leave_target_region_out,stgcn_diffusion,158760,537,0.11806336894301428,-0.009364457266754528,0.21597564193209454,0.007863656395456609,-0.11263545858747859,0.09237769568861583,0.08420324873352747,0.049375841624538966,0.11567898920680403,0.12709508003683778,0.03519006387714386,0.20473442680860748,0.09637479202820687,0.020738291786022364,0.16240211602637805,0.04289183130331031,-0.043336970133068635,0.12128673869048263,0.154,0.012171543294679399,-0.05859556397614307,0.07724805642383187,0.3495,-0.03386012020948681,-0.12864658096684783,0.07738938812305043,0.154,0.699
