forecast_model,observed_reference,policy,mean_cost,unsafe_deploy_rate,unnecessary_retrain_rate,deploy_rate,adapt_rate,retrain_rate,n_pairs
graphwavenet_transfer,observed_expected_decision,phyk_tas_conservative,0.5272727272727272,0.0,0.1,0.0,0.08181818181818182,0.9181818181818182,110
graphwavenet_transfer,observed_expected_decision,phyk_tas_expected,0.38181818181818183,0.0,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.8363636363636363,110
graphwavenet_transfer,observed_expected_decision,predicted_mean,0.38181818181818183,0.0,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.8363636363636363,110
graphwavenet_transfer,observed_expected_decision,always_deploy,7.454545454545454,0.8181818181818182,0.0,1.0,0.0,0.0,110
graphwavenet_transfer,observed_expected_decision,always_adapt,2.8727272727272726,0.0,0.0,0.0,1.0,0.0,110
graphwavenet_transfer,observed_expected_decision,always_retrain,0.6909090909090909,0.0,0.18181818181818182,0.0,0.0,1.0,110
graphwavenet_transfer,observed_expected_decision,source_accuracy_rank,2.881818181818182,0.20909090909090908,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
graphwavenet_transfer,observed_expected_decision,shift_rank,2.609090909090909,0.17272727272727273,0.06363636363636363,0.23636363636363636,0.2545454545454545,0.509090909090909,110
linear_window,observed_expected_decision,phyk_tas_conservative,1.0454545454545454,0.0,0.3181818181818182,0.02727272727272727,0.0,0.9727272727272728,110
linear_window,observed_expected_decision,phyk_tas_expected,1.0545454545454545,0.1,0.0,0.41818181818181815,0.11818181818181818,0.4636363636363636,110
linear_window,observed_expected_decision,predicted_mean,1.0545454545454545,0.1,0.0,0.41818181818181815,0.11818181818181818,0.4636363636363636,110
linear_window,observed_expected_decision,always_deploy,6.090909090909091,0.6545454545454545,0.0,1.0,0.0,0.0,110
linear_window,observed_expected_decision,always_adapt,2.6,0.0,0.0,0.0,1.0,0.0,110
linear_window,observed_expected_decision,always_retrain,1.1272727272727272,0.0,0.34545454545454546,0.0,0.0,1.0,110
linear_window,observed_expected_decision,source_accuracy_rank,2.8727272727272726,0.18181818181818182,0.20909090909090908,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
linear_window,observed_expected_decision,shift_rank,2.727272727272727,0.15454545454545454,0.20909090909090908,0.23636363636363636,0.2545454545454545,0.509090909090909,110
patchtst_small,observed_expected_decision,phyk_tas_conservative,1.0272727272727273,0.0,0.3,0.01818181818181818,0.00909090909090909,0.9727272727272728,110
patchtst_small,observed_expected_decision,phyk_tas_expected,1.0363636363636364,0.10909090909090909,0.0,0.41818181818181815,0.09090909090909091,0.4909090909090909,110
patchtst_small,observed_expected_decision,predicted_mean,1.0363636363636364,0.10909090909090909,0.0,0.41818181818181815,0.09090909090909091,0.4909090909090909,110
patchtst_small,observed_expected_decision,always_deploy,6.136363636363637,0.6727272727272727,0.0,1.0,0.0,0.0,110
patchtst_small,observed_expected_decision,always_adapt,2.5454545454545454,0.0,0.0,0.0,1.0,0.0,110
patchtst_small,observed_expected_decision,always_retrain,1.1,0.0,0.32727272727272727,0.0,0.0,1.0,110
patchtst_small,observed_expected_decision,source_accuracy_rank,2.8636363636363638,0.2,0.2,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
patchtst_small,observed_expected_decision,shift_rank,2.536363636363636,0.14545454545454545,0.18181818181818182,0.23636363636363636,0.2545454545454545,0.509090909090909,110
