canonical_station_uid,ar6_region,cell5,latitude,longitude,n_obs_train,wet_day_fraction_gt1mm,wet_day_mean_intensity,daily_precip_cv,monthly_climatology_amplitude,top3_month_precip_fraction,occurrence_lag1_autocorr,wet_intensity_lag1_autocorr,dry_spell_mean_days,dry_spell_p95_days,wet_day_p95,wet_day_p99,extreme_tail_ratio_p99_p95,source_id,source_station_id,coverage_threshold
can_eccc_climate_stations_01::406N0NM,NWN,50_-110,54.13333333333333,-108.51666666666668,2720,0.16029411764705884,6.381651376146788,3.515049414556896,576.6,0.5627889834483683,0.22422613091578375,0.11950243129023858,7.716216216216216,25.5,20.5,36.42999999999995,1.777073170731705,can_eccc_climate_stations_01,406N0NM,80
can_eccc_climate_stations_01::3053536,NWN,50_-120,52.92638888888889,-118.02972222222222,2867,0.20334844785490058,4.383190394511149,2.7866898614839934,389.6,0.43805262597208905,0.16021845409691607,0.14740030642118326,5.374117647058823,17.0,11.089999999999998,24.551999999999932,2.213886384129841,can_eccc_climate_stations_01,3053536,80
can_eccc_climate_stations_01::301B460,NWN,50_-115,51.66974166666667,-110.2061361111111,2627,0.1438903692424819,5.868253968253968,3.7829167990464856,748.0999999999999,0.6077533705741526,0.23739173486232326,0.027731253716485615,8.819607843137256,31.299999999999983,18.844999999999995,36.09000000000005,1.91509684266384,can_eccc_climate_stations_01,301B460,80
can_eccc_climate_stations_01::1126070,WNA,45_-120,49.78333333333333,-119.71666666666668,2913,0.1922416752488843,4.71875,2.5767822217162464,252.3,0.38303801823499056,0.19302721088435318,0.07885803509580366,6.394021739130435,22.299999999999955,12.409999999999991,20.409999999999968,1.6446414182111186,can_eccc_climate_stations_01,1126070,95
can_eccc_climate_stations_01::4024919,WNA,45_-110,49.90251388888889,-109.46612777777776,2778,0.14146868250539957,6.379643765903308,3.79402708355183,671.0,0.5572096502711801,0.22639799682360784,0.06661909374987822,8.548387096774194,23.199999999999932,21.479999999999997,33.659999999999926,1.5670391061452482,can_eccc_climate_stations_01,4024919,95
can_eccc_climate_stations_01::4068559,NWN,50_-110,53.91666666666666,-106.06666666666666,2836,0.21720733427362482,6.386038961038961,3.060078131098707,520.8,0.4262201230857307,0.19320230242943223,0.05036363741388899,5.577889447236181,15.149999999999977,20.925,36.970000000000006,1.7667861409796897,can_eccc_climate_stations_01,4068559,80
can_eccc_climate_stations_01::4046884,NWN,50_-110,51.56666666666667,-107.91666666666669,2883,0.1751647589316684,5.931089108910892,3.2593251119228674,658.7,0.47422363115939803,0.19146805386006335,0.13422573741041993,6.679775280898877,23.25,19.35999999999999,29.967999999999982,1.5479338842975205,can_eccc_climate_stations_01,4046884,80
can_eccc_climate_stations_01::402DAF0,NWN,50_-110,50.90946388888889,-109.50139166666666,2864,0.15153631284916202,5.90184331797235,3.521016974159091,632.9,0.5022544111904,0.19670950771799073,0.20090141614171422,7.915309446254072,23.69999999999999,18.40999999999998,32.6,1.770776751765347,can_eccc_climate_stations_01,402DAF0,80
can_eccc_climate_stations_01::4020286,WNA,45_-110,49.729191666666665,-105.94611388888887,2897,0.17017604418363824,5.727991886409736,3.5677736894939103,584.9,0.523632327980154,0.22507953631321193,0.08684020252448851,7.374233128834356,22.75,17.279999999999983,36.83999999999999,2.131944444444446,can_eccc_climate_stations_01,4020286,95
can_eccc_climate_stations_01::5012324,CNA,45_-100,49.90313888888889,-98.28413888888888,2845,0.19402460456942003,6.820289855072463,3.369512167123483,484.09999999999997,0.4091357462629942,0.1665821411546811,0.05389152850279565,5.971354166666667,17.0,23.234999999999978,42.73700000000001,1.8393372068000882,can_eccc_climate_stations_01,5012324,95
