run_tag,forecast_model,feature_set,cv_kind,estimator,mae,r2
all_viable_min100_full_s2,stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,0.02328148690210068,-0.35456971184043296
all_viable_min100_full_s2,stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,0.016655015996401526,0.2809987473180784
all_viable_min100_full_s2,stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,0.020880842564025205,-0.18760101214224778
all_viable_min100_full_s2,stgcn_diffusion,distance_only,leave_target_region_out,random_forest,0.015257406089378494,0.3805764357473219
all_viable_min100_full_s3,graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,0.025683763854318066,-0.22120399916864386
all_viable_min100_full_s3,graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,0.03292578713771874,-0.30567749333533367
all_viable_min100_full_s3,graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,0.027157869105189105,-0.403922024587283
all_viable_min100_full_s3,graphwavenet_transfer,distance_only,leave_target_region_out,random_forest,0.0311806954556368,-0.2658555704514185
all_viable_min100_full_s3,linear_window,physical_knowledge,leave_target_region_out,random_forest,0.042764431301956694,-0.17416723015185953
all_viable_min100_full_s3,linear_window,generic_shift,leave_target_region_out,random_forest,0.04237427302854327,-0.16175671410617953
all_viable_min100_full_s3,linear_window,physical_plus_shift,leave_target_region_out,random_forest,0.03976022064630503,-0.029183363696888565
all_viable_min100_full_s3,linear_window,distance_only,leave_target_region_out,random_forest,0.04280026795969894,-0.22700544315829396
all_viable_min100_full_s3,patchtst_small,physical_knowledge,leave_target_region_out,random_forest,0.04268642610426405,-0.21885136211677803
all_viable_min100_full_s3,patchtst_small,generic_shift,leave_target_region_out,random_forest,0.040369719239390214,-0.1198703518608899
all_viable_min100_full_s3,patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,0.039985324058684685,-0.07438001161882912
all_viable_min100_full_s3,patchtst_small,distance_only,leave_target_region_out,random_forest,0.042006085194627014,-0.21653509491313083
all_viable_min100_full_s3,regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,0.24537639733631222,0.0004843386956433493
all_viable_min100_full_s3,regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,0.3669653725955822,-1.051863676763113
all_viable_min100_full_s3,regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,0.2956589286443472,-0.5188647688305956
all_viable_min100_full_s3,regional_doy_climatology,distance_only,leave_target_region_out,random_forest,0.3300888329424398,-0.5461773252607662
all_viable_min100_full_s3,spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,0.03684166819161548,0.06556898156815871
all_viable_min100_full_s3,spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,0.05049611869901167,-0.6884569384870469
all_viable_min100_full_s3,spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,0.03763793402353324,0.007631299940082825
all_viable_min100_full_s3,spatial_knn_ridge,distance_only,leave_target_region_out,random_forest,0.04985727492370151,-0.5757786613542755
all_viable_min100_full_s3,stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,0.02387512350782158,-0.2776770744264683
all_viable_min100_full_s3,stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,0.018679177428146832,0.06713181152739289
all_viable_min100_full_s3,stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,0.023152111215225514,-0.25728464744401536
all_viable_min100_full_s3,stgcn_diffusion,distance_only,leave_target_region_out,random_forest,0.016511551716267458,0.23438568281923544
