seed_label,forecast_model,cv_kind,feature_group,n_features,n,mae,r2
large_s2,stgcn_diffusion,leave_target_region_out,extremes,3,5826,0.02182946952055908,-0.7492004439609183
large_s2,stgcn_diffusion,leave_target_region_out,physical_all,12,5826,0.020422932077808906,-0.9529398577380068
large_s2,stgcn_diffusion,leave_target_region_out,shift_only,11,5826,0.01636119450329578,-0.08918690650989847
large_s2,stgcn_diffusion,leave_target_region_out,physical_plus_shift,23,5826,0.023932173364654044,-1.1799041552721565
large_s3,graphwavenet_transfer,group_by_cell,occurrence,2,5826,0.012305233844842564,0.46850836409288255
large_s3,graphwavenet_transfer,group_by_cell,intensity,3,5826,0.011819292677998213,0.4365048506581276
large_s3,graphwavenet_transfer,group_by_cell,seasonality,2,5826,0.013992968491439469,0.25912689910742903
large_s3,graphwavenet_transfer,group_by_cell,intermittency,2,5826,0.016175620492698252,-0.23057052191733973
large_s3,graphwavenet_transfer,group_by_cell,extremes,3,5826,0.01639952180896059,-0.05340393929225362
large_s3,graphwavenet_transfer,group_by_cell,physical_all,12,5826,0.01114347135928518,0.5230338351967444
large_s3,graphwavenet_transfer,group_by_cell,shift_only,11,5826,0.015278694030334265,0.04670639315555747
large_s3,graphwavenet_transfer,group_by_cell,physical_plus_shift,23,5826,0.010167064712958569,0.5895239447868064
large_s3,graphwavenet_transfer,leave_target_region_out,occurrence,2,5826,0.02015162974658707,-0.7789742237158042
large_s3,graphwavenet_transfer,leave_target_region_out,intensity,3,5826,0.016969779791933138,-0.4790802090325188
large_s3,graphwavenet_transfer,leave_target_region_out,seasonality,2,5826,0.02006687975389344,-0.7044447144943089
large_s3,graphwavenet_transfer,leave_target_region_out,intermittency,2,5826,0.01953000641251899,-0.5833344182277944
large_s3,graphwavenet_transfer,leave_target_region_out,extremes,3,5826,0.02783231936290759,-1.5904241105236547
large_s3,graphwavenet_transfer,leave_target_region_out,physical_all,12,5826,0.02072599554944823,-1.0013010990181686
large_s3,graphwavenet_transfer,leave_target_region_out,shift_only,11,5826,0.01945148496376425,-0.1962448177922289
large_s3,graphwavenet_transfer,leave_target_region_out,physical_plus_shift,23,5826,0.02317611060607856,-0.9462449869806493
large_s3,stgcn_diffusion,group_by_cell,occurrence,2,5826,0.017851236294429754,0.4354375671269737
large_s3,stgcn_diffusion,group_by_cell,intensity,3,5826,0.016748135132633745,0.47306781280754184
large_s3,stgcn_diffusion,group_by_cell,seasonality,2,5826,0.019822203478195417,0.13753900860724755
large_s3,stgcn_diffusion,group_by_cell,intermittency,2,5826,0.021436479677455978,-0.19456206425800104
large_s3,stgcn_diffusion,group_by_cell,extremes,3,5826,0.02214790486896802,-0.10951631826245523
large_s3,stgcn_diffusion,group_by_cell,physical_all,12,5826,0.015784656101632526,0.5285416630937645
large_s3,stgcn_diffusion,group_by_cell,shift_only,11,5826,0.02025751229178595,-0.01342767519549537
large_s3,stgcn_diffusion,group_by_cell,physical_plus_shift,23,5826,0.011488404591088405,0.6565625670564494
large_s3,stgcn_diffusion,leave_target_region_out,occurrence,2,5826,0.029905581379556814,-1.0096797804642876
large_s3,stgcn_diffusion,leave_target_region_out,intensity,3,5826,0.024794426436761302,-0.5554148887427277
large_s3,stgcn_diffusion,leave_target_region_out,seasonality,2,5826,0.02755124988731098,-0.781203240397119
large_s3,stgcn_diffusion,leave_target_region_out,intermittency,2,5826,0.029869926133893873,-0.8821367789734011
large_s3,stgcn_diffusion,leave_target_region_out,extremes,3,5826,0.030456921377273852,-0.9729386328513931
large_s3,stgcn_diffusion,leave_target_region_out,physical_all,12,5826,0.027742968678402827,-0.9053868993802687
large_s3,stgcn_diffusion,leave_target_region_out,shift_only,11,5826,0.01844787702408824,0.00811384941382931
large_s3,stgcn_diffusion,leave_target_region_out,physical_plus_shift,23,5826,0.03372334353092957,-1.3002489722482298
