model,n_pairs,pearson_source_mae_vs_degradation,spearman_source_mae_vs_degradation,pearson_source_mae_vs_abs_degradation,mean_source_in_region_mae,mean_degradation,max_degradation
graphwavenet_transfer,330,0.025460610034697902,0.033971847038147096,0.02160070818348196,2.4573274333852195,0.07727722021773224,0.3325759664815003
linear_window,330,-0.053225604509385994,-0.07292471717924211,-0.0456742794973201,2.5191217920258264,0.04024942615063031,0.9231748488670376
patchtst_small,330,-0.059740204216842015,-0.0753868325560849,-0.05713184583696372,2.5241905996559297,0.038676844720165304,0.9513857966242624
regional_doy_climatology,330,0.8390568675993377,0.6443693354566749,0.7699913843846099,3.7947094067537006,0.22182804584550325,4.294291933230615
spatial_knn_ridge,330,0.3925491667085171,0.49817914700261673,0.16023400601677812,2.667302628854556,0.037439132658209216,0.2881206758423922
stgcn_diffusion,330,-0.06577632130044753,0.049345870056099,-0.07331399284699877,2.4918998820285796,0.0694924875661703,0.963288925387732
