forecast_model,feature_set,cv_kind,estimator,n_seeds,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max,r2_se,r2_ci95_halfwidth
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,3,0.020016360294700566,0.008886064024047098,0.028249880805091766,0.022402157686156353,0.0033253023571657,0.0467063931555574,0.012933891770530816,0.0253504278702404
graphwavenet_transfer,generic_shift,group_by_cell,ridge,3,0.020015068986309368,0.009228733518425281,0.029536530441878966,0.025673797925907807,0.0007561133759005,0.0500838158033315,0.01482277414364293,0.02905263732154014
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,3,0.0224254400349347,0.006611893637364846,-0.13569399503144447,0.09853954208166413,-0.1962448177922291,-0.0219905323079452,0.05689183114667124,0.11150798904747564
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,3,0.08806528884724424,0.00230939090604664,-9.655780674732464,5.890649573780867,-14.463765323695412,-3.084989205513246,3.400968117124138,6.665897509563311
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,3,0.015834974095693767,0.00806867456982689,0.5103440742159439,0.07378339137168793,0.4311425943410699,0.577135493283004,0.042598860870167544,0.08349376730552839
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,3,0.023379807744539804,0.011654980801990334,0.04748159465652766,0.12560853170926525,-0.0830733577876985,0.1674770435418515,0.07252011959485795,0.14213943440592158
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,3,0.0297398859229086,0.015272093492399809,-1.0314075660934796,0.028665570249206396,-1.0593626477233085,-1.002080758976413,0.01655007469985344,0.03243814641171274
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,3,0.0541931050962678,0.03538310538660871,-3.24324100869264,2.1146149641509067,-5.627483260542186,-1.5948983247694577,1.2208735187849369,2.3929120968184763
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,3,0.012599487626055434,0.004293324948808968,0.6165033685922408,0.09073343661548106,0.5417030907127761,0.7174349591281839,0.052384974054447836,0.10267454914671775
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,3,0.024567397776748965,0.01205344189270813,0.049857120357065,0.14378537531330984,-0.0889216789635041,0.1981741311451753,0.08301452514267081,0.16270846927963478
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,3,0.030575209898902066,0.015598900273180357,-0.8915318587907155,0.13423980044678832,-0.988979950324992,-0.7384132436426032,0.07750338492391488,0.15190663445087316
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,3,0.0684339646492625,0.023296182974211883,-5.126209520129552,0.8442438236634877,-5.649453189984797,-4.152260737613073,0.48742439885379363,0.9553518217534355
stgcn_diffusion,generic_shift,group_by_cell,random_forest,3,0.0182193822628724,0.002113792186785804,-0.005356231740147733,0.030753018022252734,-0.0312685812005713,0.0286275611756234,0.01775526323354103,0.03480031593774042
stgcn_diffusion,generic_shift,group_by_cell,ridge,3,0.017989152005991667,0.002024050672580568,-0.0025740872664518325,0.029965800130234938,-0.0306773136414857,0.0289591070260564,0.017300762771673667,0.033909495032480384
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,3,0.018665463913256367,0.002420409134988765,-0.07279106564350481,0.07408052892333725,-0.1373001398344453,0.0081138494138293,0.04277041331559862,0.08383001009857328
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,3,0.0466431258464542,0.014499340257381376,-3.204090464665916,2.1369611317573245,-5.294408442641768,-1.0233563166265278,1.2337750846678588,2.418199165949003
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,3,0.013707099904199735,0.0019876763041208343,0.550398873157658,0.04429762010784941,0.5214735362373157,0.6013960843172097,0.02557524289372664,0.05012747607170421
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,3,0.01847564796480153,0.0023025522856723137,0.0438146507457839,0.20184231570912073,-0.1892303439150564,0.1631377298848745,0.11653371530851829,0.22840608200469584
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,3,0.02415233980319177,0.0036600006248338965,-0.8860025024285316,0.07861219622797537,-0.9534131367095168,-0.7996499423862293,0.04538677265380926,0.08895807440146615
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,3,0.03795390978497574,0.010592765626020899,-2.701886636315127,1.5384074156414487,-4.418552335981539,-1.447963678930908,0.888199935543907,1.7408718736660576
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,3,0.010519063421209833,0.001051682949936384,0.6582697939818236,0.04212671040627071,0.6168462350263504,0.7010660997676027,0.024321867593133803,0.04767086048254225
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,3,0.018968435640522266,0.002338221379806686,0.025660931278203108,0.2320513369439816,-0.242121578192842,0.167750886735884,0.13397490185042035,0.2625908076268239
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,3,0.029172857554531098,0.004999392489961649,-1.1687521509878405,0.140748238524151,-1.3091693265197653,-1.027675169283686,0.08126103339988423,0.1592716254637731
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,3,0.0360606961386409,0.009875122728121627,-2.3283849249088333,1.1472605352146774,-3.452938401304253,-1.1596913789738212,0.6623711788368282,1.2982475105201832
