cv_kind,forecast_model,estimator,n,r2,r2_lo,r2_hi
group_by_cell,graphwavenet_transfer,random_forest,158760,0.3356162809730773,0.27510769897907467,0.38264780923525765
group_by_cell,graphwavenet_transfer,bayes_ridge,158760,0.11742133030642421,-0.039041135130790564,0.21211425387075677
group_by_cell,graphwavenet_transfer,hist_gbm,158760,0.43428420996664263,0.37816875512602566,0.477731235572596
group_by_cell,graphwavenet_transfer,mixedlm_pool,158760,-1.495328415704095,-2.258289072130926,-1.032147619269513
group_by_cell,graphwavenet_transfer,fusion_mean,158760,0.2581532830493062,0.14495655244275485,0.34236264909616027
group_by_cell,graphwavenet_transfer,fusion_stack,158760,0.4115500729039291,0.3569821153860459,0.4601079703375526
group_by_cell,linear_window,random_forest,158760,-0.03265089674345889,-0.04805728252706674,-0.01866589073065429
group_by_cell,linear_window,bayes_ridge,158760,-0.0008707884703926805,-0.0023047379166658555,0.0002937171537552039
group_by_cell,linear_window,hist_gbm,158760,-0.016335062130970135,-0.024583388224477264,-0.009761161357527503
group_by_cell,linear_window,mixedlm_pool,158760,-0.0053925993110000014,-0.0075713156696524675,-0.0031666550601992943
group_by_cell,linear_window,fusion_mean,158760,-0.0035196829812484953,-0.006922797377152151,-0.00037481766115443074
group_by_cell,linear_window,fusion_stack,158760,-0.0003919817315904961,-0.0013439342600175708,0.00037701207933725457
group_by_cell,patchtst_small,random_forest,158760,-0.0360447211502295,-0.05172684142926064,-0.019848488891299376
group_by_cell,patchtst_small,bayes_ridge,158760,-0.0008161585141166494,-0.0017725389225359879,8.188245240649933e-05
group_by_cell,patchtst_small,hist_gbm,158760,-0.014323089271588652,-0.02333848889055542,-0.007443638070881406
group_by_cell,patchtst_small,mixedlm_pool,158760,-0.005804648972721038,-0.007878041489724801,-0.003947493477401582
group_by_cell,patchtst_small,fusion_mean,158760,-0.0035474679089109173,-0.0068840901830557796,-2.7401951661099748e-05
group_by_cell,patchtst_small,fusion_stack,158760,-0.00042518332153496097,-0.0013085592052320405,0.0003901121932277371
group_by_cell,regional_doy_climatology,random_forest,158760,0.8845399246444878,0.7656235263962304,0.9694477092573268
group_by_cell,regional_doy_climatology,bayes_ridge,158760,0.5744506118281805,0.3968337704829944,0.6988245688638132
group_by_cell,regional_doy_climatology,hist_gbm,158760,0.888076454183766,0.7953471315431355,0.967157131103042
group_by_cell,regional_doy_climatology,mixedlm_pool,158760,0.9454357746935598,0.9375944855811114,0.9524994363146388
group_by_cell,regional_doy_climatology,fusion_mean,158760,0.9051985641501809,0.84304702516936,0.9558773629747352
group_by_cell,regional_doy_climatology,fusion_stack,158760,0.9198452983179595,0.8502593779196181,0.9719236805679746
group_by_cell,spatial_knn_ridge,random_forest,158760,0.8234071723433979,0.7949530007804197,0.8553364472588597
group_by_cell,spatial_knn_ridge,bayes_ridge,158760,0.16557754765002486,-0.02209324864173512,0.31581995880045416
group_by_cell,spatial_knn_ridge,hist_gbm,158760,0.844448696842992,0.8210241326896633,0.8669782225217466
group_by_cell,spatial_knn_ridge,mixedlm_pool,158760,0.5417197173647861,0.48010414041786587,0.591770545665302
group_by_cell,spatial_knn_ridge,fusion_mean,158760,0.7457062709349747,0.7095186141391682,0.776623757977056
group_by_cell,spatial_knn_ridge,fusion_stack,158760,0.8472511728423088,0.8225470823461669,0.8691501279236516
group_by_cell,stgcn_diffusion,random_forest,158760,0.31092567920089575,0.22725151441690952,0.3916652844977269
group_by_cell,stgcn_diffusion,bayes_ridge,158760,0.09772194275077417,0.000461397937265152,0.17903621921393498
group_by_cell,stgcn_diffusion,hist_gbm,158760,0.2969348115697724,0.06879787266415155,0.4300192424014492
group_by_cell,stgcn_diffusion,mixedlm_pool,158760,-0.21365898890428037,-0.34667092414750866,-0.09301995697192009
group_by_cell,stgcn_diffusion,fusion_mean,158760,0.30650556890081215,0.2403466397247743,0.3718055584665421
group_by_cell,stgcn_diffusion,fusion_stack,158760,0.30847168934984426,0.1816568064203738,0.412979133831568
leave_target_region_out,graphwavenet_transfer,random_forest,158760,0.13628875184155975,0.06697189262501446,0.1915040155363822
leave_target_region_out,graphwavenet_transfer,bayes_ridge,158760,0.05388546752014878,-0.10834074926502836,0.16226655725460104
leave_target_region_out,graphwavenet_transfer,hist_gbm,158760,0.19843155360763187,0.15858247032647096,0.23086977750697502
leave_target_region_out,graphwavenet_transfer,mixedlm_pool,158760,-1.229529157644567,-1.8460805690632076,-0.7852249858575602
leave_target_region_out,graphwavenet_transfer,fusion_mean,158760,0.15691837087785365,0.11037512569407873,0.20123150566301207
leave_target_region_out,graphwavenet_transfer,fusion_stack,158760,0.1292123771925885,0.05032040219089349,0.18490541443381914
leave_target_region_out,linear_window,random_forest,158760,-0.046086367838583664,-0.07045742637727895,-0.018559873708465707
leave_target_region_out,linear_window,bayes_ridge,158760,-0.0003242160387679771,-0.0014240520231856178,0.0005231001967297613
leave_target_region_out,linear_window,hist_gbm,158760,-0.019590424406853213,-0.027776901611146328,-0.013145535315433186
leave_target_region_out,linear_window,mixedlm_pool,158760,-0.0027469647068389946,-0.004307017327505896,-0.0013979250453634248
leave_target_region_out,linear_window,fusion_mean,158760,-0.003908500683607041,-0.009115768498068106,0.0009515673508285827
leave_target_region_out,linear_window,fusion_stack,158760,-7.734755860688836e-06,-0.001209918000066823,0.0010652033086150725
leave_target_region_out,patchtst_small,random_forest,158760,-0.0526214919346788,-0.08483669792617787,-0.02243406826503202
leave_target_region_out,patchtst_small,bayes_ridge,158760,-0.00036540761031012003,-0.001211249323935054,0.0003592500341655812
leave_target_region_out,patchtst_small,hist_gbm,158760,-0.02654932227597162,-0.03431890625181877,-0.018452254498984452
leave_target_region_out,patchtst_small,mixedlm_pool,158760,-0.003213977795764489,-0.005286887119074457,-0.0017672848420036472
leave_target_region_out,patchtst_small,fusion_mean,158760,-0.0054644773983212325,-0.011457485939420687,2.531056337013342e-05
leave_target_region_out,patchtst_small,fusion_stack,158760,0.00013216099471291542,-0.0010077982392789398,0.0012986660027038285
leave_target_region_out,regional_doy_climatology,random_forest,158760,-0.6954843555455903,-1.0422644195179307,-0.420316727529547
leave_target_region_out,regional_doy_climatology,bayes_ridge,158760,0.21504246676715233,-0.11205756544628845,0.47814986343723365
leave_target_region_out,regional_doy_climatology,hist_gbm,158760,-0.41603670227929146,-0.7349361895716503,-0.14153998731521691
leave_target_region_out,regional_doy_climatology,mixedlm_pool,158760,0.8592703243607007,0.8341412929411389,0.8789664329371351
leave_target_region_out,regional_doy_climatology,fusion_mean,158760,0.2991390210549183,0.11141242071537533,0.4658254990964028
leave_target_region_out,regional_doy_climatology,fusion_stack,158760,0.856950043507406,0.8315524818047972,0.8751824425281095
leave_target_region_out,spatial_knn_ridge,random_forest,158760,-0.9694693220678354,-1.0923482491719205,-0.8584518282283792
leave_target_region_out,spatial_knn_ridge,bayes_ridge,158760,-0.2579466113147286,-0.5573596772247633,-0.055035410472122404
leave_target_region_out,spatial_knn_ridge,hist_gbm,158760,-0.40412732749022795,-0.4773352936302824,-0.33728374490606694
leave_target_region_out,spatial_knn_ridge,mixedlm_pool,158760,0.2642097396958558,0.21974250478852153,0.30132122532012034
leave_target_region_out,spatial_knn_ridge,fusion_mean,158760,-0.004806448317407508,-0.06708869942873232,0.049888330420104675
leave_target_region_out,spatial_knn_ridge,fusion_stack,158760,0.3154687314516561,0.2716498119733314,0.3548692504592435
leave_target_region_out,stgcn_diffusion,random_forest,158760,0.002324096430175726,-0.022558885093185876,0.028574379324253284
leave_target_region_out,stgcn_diffusion,bayes_ridge,158760,0.06331655227323052,-0.017401502122025035,0.13101345042608858
leave_target_region_out,stgcn_diffusion,hist_gbm,158760,0.022457509065923142,-0.025134307857962043,0.06359592301597436
leave_target_region_out,stgcn_diffusion,mixedlm_pool,158760,-0.06353082210132843,-0.13386802452686408,-0.007637334486390077
leave_target_region_out,stgcn_diffusion,fusion_mean,158760,0.13273402788610134,0.10290523807641808,0.16552904002329788
leave_target_region_out,stgcn_diffusion,fusion_stack,158760,0.11360912334264328,0.07533642217891304,0.1555830770448749
