model,pearson_conflict_err,spearman_conflict_err,err_low_conflict,err_mid_conflict,err_high_conflict
spatial_knn_ridge,0.3893649883034665,0.23765781037640293,0.026871079009960996,0.02683349273231036,0.04477088705255301
stgcn_diffusion,0.4189075449025996,0.3974774608171746,0.03638562751446805,0.04399218271891941,0.10920245665228173
graphwavenet_transfer,0.48251819190587575,0.4961403049319197,0.03343736777471952,0.04669948204729109,0.14266223737179543
regional_doy_climatology,0.45979791629390976,0.37002675284979,0.0639991173248499,0.06745569732750122,0.20289679460824273
