model,source_region,target_region,n_runs,degradation_mean,degradation_sd,degradation_min,degradation_max,mae_mean,brier_mean,degradation_se,degradation_ci95_halfwidth
graphwavenet_transfer,CNA,CNA,3,0.0,0.0,0.0,0.0,1.9782849181216475,0.14857167361308973,0.0,0.0
graphwavenet_transfer,CNA,EAS,3,0.12158906337029936,0.07366804347982163,0.0397943071540284,0.1827149862057624,6.278298694791687,0.24866035640911463,0.042532264733748076,0.5404236636111336
graphwavenet_transfer,CNA,EAU,3,0.025857249036446702,0.008522898955966472,0.0198428941179118,0.0356105704164318,2.817949071833482,0.2113495751562626,0.004920698006503224,0.06252339631678323
graphwavenet_transfer,CNA,ENA,3,0.03335391545924127,0.007971251883116004,0.024917380087539,0.0407595817357291,2.9586324988186004,0.23598595450501011,0.004602204420495337,0.058476551605726575
graphwavenet_transfer,CNA,MED,3,0.039695616254742966,0.009000184266031495,0.0293285087697702,0.0455081601551707,1.7485063318602236,0.17565350481805372,0.005196258808749518,0.06602472828746013
graphwavenet_transfer,CNA,NCA,3,-0.0069023968497045,0.0024549721909356975,-0.0085229488043133,-0.0040778599707099,1.0113298490636742,0.09461748095944833,0.0014173788552897704,0.01800950592440158
graphwavenet_transfer,CNA,NEU,3,0.12049427600516503,0.027074899635373375,0.0903934450959963,0.1428594145713077,2.335864301465188,0.3171937231083968,0.01563170059276492,0.198619588110278
graphwavenet_transfer,CNA,NWN,3,0.1915399426149802,0.004573868020409912,0.1862633361961502,0.1943740446847088,2.4899652025532872,0.2482602088906233,0.0026407239328214835,0.03355357894282592
graphwavenet_transfer,CNA,SAU,3,0.0359435129353249,0.008878824564486302,0.0257470279827168,0.0419676585412018,1.911914150622282,0.2246001960241787,0.005126191752393629,0.06513444192412307
graphwavenet_transfer,CNA,WCE,3,0.07135022126492423,0.02383718638155629,0.0485638362954123,0.0961149114071961,2.201492554325895,0.3026726164118351,0.013762405974114806,0.17486794797299893
graphwavenet_transfer,CNA,WNA,3,0.08630943607853919,0.009947752396351444,0.0805061916635377,0.0977959021072129,2.01759502995141,0.23459263131188582,0.005743337523865251,0.07297602244866483
graphwavenet_transfer,EAS,CNA,3,0.2262422594723158,0.012191146366751542,0.2184939696231286,0.2402946681508753,2.2045271775939637,0.18773978106607744,0.0070385616365741316,0.08943340520430747
graphwavenet_transfer,EAS,EAS,3,0.0,0.0,0.0,0.0,6.1567096314213865,0.2254170686081508,0.0,0.0
