source_region,target_region,kl_source_to_target,kl_target_to_source,wasserstein_precip,mmd_rbf_precip,shift_mean_abs,shift_variance_abs,shift_wet_fraction_abs,shift_p95_abs,shift_p99_abs,shift_monthly_l2,region_centroid_distance_deg
WCE,WCE,0.0,0.0,0.0,0.0004217791313787522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WCE,NEU,0.004688979841334088,0.004816940626164858,0.13002466666666568,0.0016143069824017253,0.10654666666666657,0.6292753152888864,0.01972999999999997,0.3000000000000007,0.3999999999999986,1.7450830251376692,8.370414778311103
WCE,WNA,0.28541993381191194,0.18956154509148662,0.4197073333333337,0.002103811274289047,0.012479333333333287,11.863394785284001,0.04875666666666667,1.0999999999999996,5.600000000000001,4.672393146533508,125.24039992735239
WCE,ENA,0.08041790535253213,0.06489715599792567,1.1792243333333348,0.004232493368024004,0.8977023333333332,52.595939808739004,0.05863666666666667,6.9,18.0,3.3618316783574302,92.34946629686614
WCE,CNA,0.1805545493114656,0.12859857737906627,1.0544073333333357,0.01767546782833973,0.1099473333333334,32.48181937138178,0.14568333333333336,1.9000000000000004,13.200000000000003,2.1753711160294373,108.91918606578403
WCE,SAU,0.045400475925139745,0.04323886061051807,0.5577106666666679,0.006044014512734286,0.47753800000000024,1.9777556247560035,0.09746333333333335,1.4000000000000004,0.7000000000000028,2.1098114704192703,153.18087546489804
WCE,MED,0.08938838092807148,0.07892465024869987,0.7927943333333463,0.01660904487989079,0.4280750000000002,17.721074886875,0.13664,0.5999999999999996,5.300000000000001,4.580067926506824,10.322635159608037
WCE,EAU,0.11186076570024935,0.09317341415605683,0.971953333333333,0.012575506574876272,0.1432420000000003,40.630914040302656,0.11646333333333336,2.5999999999999996,14.100000000000001,4.281183983654968,161.2106366479405
WCE,NWN,0.01796485868333187,0.01799470670756121,0.630561000000001,0.0009437131754188588,0.3490463333333329,30.705394852931008,0.04343666666666668,2.5999999999999996,11.899999999999999,3.05329518084622,144.0016477034404
WCE,NCA,0.35792022389619327,0.23872784310999529,1.2955813333333333,0.043212886608068324,1.1503380000000003,2.3284080386226726,0.21908666666666668,6.0,0.5,4.401611401113482,120.48428220340085
WCE,EAS,0.25470651154866236,0.18496965630611562,3.9237199999999985,0.005964769692856642,3.6691559999999988,361.45664852326405,0.06046666666666667,23.9,70.6,20.111595069760757,109.60718008895698
NEU,WCE,0.004816940626164858,0.004688979841334088,0.13002466666666568,0.0007977283774940336,0.10654666666666657,0.6292753152888864,0.01972999999999997,0.3000000000000007,0.3999999999999986,1.7450830251376692,8.370414778311103
NEU,NEU,0.0,0.0,0.0,0.0003929959386033133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEU,WNA,0.36122350936840736,0.22616059531127705,0.49508266666666617,0.007419764926863692,0.09406733333333328,12.492670100572887,0.06848666666666664,0.7999999999999989,6.0,4.352830920224582,127.06894947565732
NEU,ENA,0.12046663553225999,0.09126385025393328,1.2154583333333342,0.010373606658571788,0.7911556666666666,53.22521512402789,0.07836666666666664,6.6,18.4,3.2538559711562844,94.7228781846377
NEU,CNA,0.25027262239315073,0.1738147864446911,1.159181333333335,0.0318224400677829,0.21649399999999996,33.11109468667067,0.16541333333333333,1.5999999999999996,13.600000000000001,3.0400385480150436,111.12624456065463
