forecast_model,mean_w_phys,mean_w_shift,mean_w_agree
graphwavenet_transfer,0.3019601883462477,0.2615868814250903,0.43645293022866183
linear_window,0.26708131693793774,0.32670641555227975,0.40621226750978245
patchtst_small,0.3186543999914296,0.2831364547995251,0.3982091452090451
regional_doy_climatology,0.0203360926233533,0.5447976965134623,0.43486621086318433
spatial_knn_ridge,0.2099956557806184,0.42997848836264724,0.36002585585673424
stgcn_diffusion,0.3355999704807156,0.27513667939979813,0.38926335011948626
