model,source_region,target_region,n_seeds,degradation_mean,degradation_sd,degradation_min,degradation_max,mae_mean,brier_mean,degradation_se,degradation_ci95_halfwidth
graphwavenet_transfer,MED,MED,3,0.0,0.0,0.0,0.0,2.0599803301605673,0.18395292157171964,0.0,0.0
graphwavenet_transfer,MED,NEU,3,0.0167164454800053,0.003074746513978523,0.0135818985963966,0.0197276815255731,2.2501773669331886,0.29610957893177364,0.0017752057275353637,0.003479403225969313
graphwavenet_transfer,MED,WCE,3,0.0010361076763359667,0.0014129500416411186,-0.0003387516575882,0.0024842930065138,2.047589702844028,0.28961419282723333,0.0008157670868929928,0.001598903490310266
graphwavenet_transfer,NEU,MED,3,0.013273746724492835,0.010975994764241312,0.0062307773804754,0.0259204655402962,2.0732540768850605,0.18924436992736618,0.006336993531758645,0.012420507322246943
graphwavenet_transfer,NEU,NEU,3,0.0,0.0,0.0,0.0,2.2334609214531835,0.29090353741618563,0.0,0.0
graphwavenet_transfer,NEU,WCE,3,0.0033114183068151,0.008888081953518194,-0.0020738246557634,0.0135702389321895,2.049865013474507,0.29030490565019135,0.005131536508443184,0.01005781155654864
graphwavenet_transfer,WCE,MED,3,0.009604730712505134,0.0008095697029695813,0.0088151007471093,0.0104328660066102,2.0695850608730733,0.18689713224312812,0.00046740528593725315,0.0009161143604370162
graphwavenet_transfer,WCE,NEU,3,0.029868327781842632,0.006598616572472854,0.0253058251146658,0.0374344081315409,2.263329249235026,0.29406827133097313,0.003809713054396328,0.007467037586616802
graphwavenet_transfer,WCE,WCE,3,0.0,0.0,0.0,0.0,2.046553595167692,0.288415289989793,0.0,0.0
stgcn_diffusion,MED,MED,3,0.0,0.0,0.0,0.0,2.0640851844096386,0.18542926397787443,0.0,0.0
stgcn_diffusion,MED,NEU,3,0.02399380982599057,0.00230037522021953,0.0225237954233271,0.0266448074750468,2.263889884608592,0.2977417297442259,0.0013281222526308903,0.002603119615156545
stgcn_diffusion,MED,WCE,3,0.003429969313178967,0.00034700865607968325,0.0031405501223211,0.0038146630880169,2.048731099579358,0.28797543958685873,0.00020034554099873541,0.0003926772603575214
stgcn_diffusion,NEU,MED,3,0.012906745180891,0.003637274459744068,0.010495131554835,0.0170904464320199,2.0769919295905295,0.19060038496154516,0.0020999813884497883,0.004115963521361585
stgcn_diffusion,NEU,NEU,3,0.0,0.0,0.0,0.0,2.2398960747826013,0.29169834846539217,0.0,0.0
stgcn_diffusion,NEU,WCE,3,0.0046656142770724,0.0021824473763885836,0.0031570778133325,0.0071681144311657,2.0499667445432515,0.28990905548835433,0.0012600365802501413,0.002469671697290277
stgcn_diffusion,WCE,MED,3,0.006416188407554633,0.0003118075734414473,0.0060846901035674,0.0067036159006597,2.070501372817193,0.18790734872774495,0.00018002218646178363,0.0003528434854650959
stgcn_diffusion,WCE,NEU,3,0.017720871204532668,0.004330303876135268,0.0149493064152815,0.0227108668453341,2.257616945987134,0.292967531295511,0.0025001021085595773,0.004900200132776772
stgcn_diffusion,WCE,WCE,3,0.0,0.0,0.0,0.0,2.0453011302661785,0.2884988283066756,0.0,0.0
