forecast_model,policy,calibration,n_pairs,point_r2,alpha,target_coverage,empirical_coverage,mean_bound_width,deploy_rate,adapt_rate,retrain_rate,unsafe_deploy_rate,mean_cost
graphwavenet_transfer,concat_global,global,110,0.48899621380936154,0.2,0.8,0.8034545454545453,0.013370868464723297,0.0,0.05260606060606061,0.9473939393939393,0.0,0.5926060606060606
graphwavenet_transfer,concat_global,global,110,0.48899621380936154,0.1,0.9,0.9136969696969698,0.05047775592516831,0.0,0.00024242424242424242,0.9997575757575757,0.0,0.687030303030303
graphwavenet_transfer,concat_global,global,110,0.48899621380936154,0.05,0.95,0.9604848484848484,0.06483643652898832,0.0,0.0,1.0,0.0,0.684969696969697
graphwavenet_transfer,fixed_source_fusion_global,global,110,0.8002565251089684,0.2,0.8,0.8029090909090909,0.018042787942400582,0.0,0.004,0.9959999999999999,0.0,0.6832121212121213
graphwavenet_transfer,fixed_source_fusion_global,global,110,0.8002565251089684,0.1,0.9,0.9075757575757575,0.03493039450264329,0.0,0.0,1.0,0.0,0.6986060606060606
graphwavenet_transfer,fixed_source_fusion_global,global,110,0.8002565251089684,0.05,0.95,0.9646060606060606,0.045441402145649026,0.0,0.0,1.0,0.0,0.6866666666666666
graphwavenet_transfer,reliability_fusion_global,global,110,0.7554973300198425,0.2,0.8,0.8054545454545454,0.01919974392312189,0.0,0.00048484848484848484,0.9995151515151516,0.0,0.6809090909090908
graphwavenet_transfer,reliability_fusion_global,global,110,0.7554973300198425,0.1,0.9,0.9129696969696969,0.038359421259718474,0.0,0.0,1.0,0.0,0.6815757575757576
graphwavenet_transfer,reliability_fusion_global,global,110,0.7554973300198425,0.05,0.95,0.9613333333333333,0.04839779407172664,0.0,0.0,1.0,0.0,0.6913333333333334
graphwavenet_transfer,reliability_fusion_conflict_stratified,conflict_stratified,110,0.7554973300198425,0.2,0.8,0.8193939393939393,0.02154937079166652,0.0,0.05854545454545455,0.9414545454545457,0.0,0.5835757575757575
graphwavenet_transfer,reliability_fusion_conflict_stratified,conflict_stratified,110,0.7554973300198425,0.1,0.9,0.929939393939394,0.030249521542085194,0.0,0.027212121212121212,0.9727878787878789,0.0,0.6347272727272727
graphwavenet_transfer,reliability_fusion_conflict_stratified,conflict_stratified,110,0.7554973300198425,0.05,0.95,0.9482424242424243,0.03216822212315933,0.0,0.022424242424242423,0.9775757575757575,0.0,0.6438787878787878
linear_window,concat_global,global,110,-2.1805197815145627,0.2,0.8,0.8072121212121212,0.099456324157369,0.08903030303030303,0.0032121212121212117,0.9077575757575758,0.5921349206349207,1.5495151515151515
linear_window,concat_global,global,110,-2.1805197815145627,0.1,0.9,0.910121212121212,0.19561260811556874,0.08024242424242424,0.002121212121212121,0.9176363636363635,0.6069515815918693,1.5112727272727273
linear_window,concat_global,global,110,-2.1805197815145627,0.05,0.95,0.9612121212121213,0.43825314916910735,0.02012121212121212,0.0010303030303030303,0.978848484848485,0.7609734369938451,1.2490909090909093
linear_window,fixed_source_fusion_global,global,110,-0.9863577249174948,0.2,0.8,0.8053333333333333,0.059346644947591315,0.07884848484848485,0.05054545454545454,0.8706060606060606,0.48563756613756615,1.34
linear_window,fixed_source_fusion_global,global,110,-0.9863577249174948,0.1,0.9,0.9161212121212122,0.14020146352101998,0.07066666666666667,0.0013333333333333335,0.9279999999999999,0.4332534356024289,1.342
linear_window,fixed_source_fusion_global,global,110,-0.9863577249174948,0.05,0.95,0.9620606060606061,0.36532503952543266,0.027575757575757576,0.0008484848484848484,0.9715757575757576,0.49844006568144494,1.220121212121212
linear_window,reliability_fusion_global,global,110,-0.9672494448236864,0.2,0.8,0.8029696969696969,0.05634095450716709,0.07775757575757576,0.07557575757575759,0.8466666666666666,0.44292771918610846,1.2725454545454544
linear_window,reliability_fusion_global,global,110,-0.9672494448236864,0.1,0.9,0.9087272727272727,0.13471315067829492,0.06951515151515153,0.0030909090909090908,0.9273939393939394,0.45342565597667633,1.3561818181818182
linear_window,reliability_fusion_global,global,110,-0.9672494448236864,0.05,0.95,0.9606666666666667,0.3641058388191785,0.029939393939393936,0.0005454545454545455,0.9695151515151516,0.5098591549295775,1.222
linear_window,reliability_fusion_conflict_stratified,conflict_stratified,110,-0.9672494448236864,0.2,0.8,0.8183030303030303,0.09937493868760032,0.1201212121212121,0.07393939393939394,0.8059393939393941,0.21182798064068967,0.9944242424242425
linear_window,reliability_fusion_conflict_stratified,conflict_stratified,110,-0.9672494448236864,0.1,0.9,0.929030303030303,0.18863553884533474,0.024363636363636365,0.03775757575757576,0.9378787878787879,0.28888642413487137,1.091878787878788
linear_window,reliability_fusion_conflict_stratified,conflict_stratified,110,-0.9672494448236864,0.05,0.95,0.9489090909090908,0.213244021364539,0.009454545454545453,0.02109090909090909,0.9694545454545453,0.2753061224489796,1.095030303030303
patchtst_small,concat_global,global,110,-4.038598449596117,0.2,0.8,0.8068484848484849,0.10020742321349213,0.09151515151515152,0.004303030303030303,0.9041818181818182,0.5986145983645984,1.5606060606060603
patchtst_small,concat_global,global,110,-4.038598449596117,0.1,0.9,0.9127878787878787,0.28457383851912776,0.08193939393939395,0.0013333333333333335,0.9167272727272727,0.6154801988135321,1.5056969696969698
patchtst_small,concat_global,global,110,-4.038598449596117,0.05,0.95,0.9668484848484848,0.6534773111296739,0.017575757575757574,0.0006666666666666668,0.9817575757575757,0.6695238095238094,1.2001818181818182
patchtst_small,fixed_source_fusion_global,global,110,-1.6191243275881813,0.2,0.8,0.7991515151515152,0.06413268292967032,0.09303030303030303,0.028242424242424242,0.8787272727272728,0.5825343738387215,1.4863030303030302
patchtst_small,fixed_source_fusion_global,global,110,-1.6191243275881813,0.1,0.9,0.9109090909090909,0.17111691655188135,0.07515151515151515,0.005999999999999999,0.9188484848484849,0.4941448007774539,1.3992727272727272
patchtst_small,fixed_source_fusion_global,global,110,-1.6191243275881813,0.05,0.95,0.9619393939393941,0.4668882378665078,0.030545454545454546,0.002,0.9674545454545455,0.5785256410256411,1.2203636363636363
patchtst_small,reliability_fusion_global,global,110,-1.5668711378527274,0.2,0.8,0.7990303030303031,0.06097820230897497,0.09254545454545456,0.04903030303030303,0.8584242424242423,0.5502156084656084,1.4612121212121212
patchtst_small,reliability_fusion_global,global,110,-1.5668711378527274,0.1,0.9,0.9118787878787877,0.16736475351599295,0.07575757575757576,0.002181818181818182,0.9220606060606061,0.5054188565058131,1.4127272727272726
patchtst_small,reliability_fusion_global,global,110,-1.5668711378527274,0.05,0.95,0.9655757575757576,0.48266438451216154,0.02606060606060606,0.0001818181818181818,0.9737575757575757,0.5129861868411487,1.192
patchtst_small,reliability_fusion_conflict_stratified,conflict_stratified,110,-1.5668711378527274,0.2,0.8,0.833030303030303,0.13114217529604347,0.10206060606060606,0.06224242424242424,0.8356969696969696,0.2582955061624003,1.058969696969697
patchtst_small,reliability_fusion_conflict_stratified,conflict_stratified,110,-1.5668711378527274,0.1,0.9,0.9241818181818182,0.22998297377070828,0.02036363636363636,0.02012121212121212,0.9595151515151515,0.3590799031476997,1.1048484848484847
patchtst_small,reliability_fusion_conflict_stratified,conflict_stratified,110,-1.5668711378527274,0.05,0.95,0.9487878787878787,0.25602369840955835,0.008303030303030302,0.01096969696969697,0.9807272727272728,0.388328664799253,1.1038787878787877
regional_doy_climatology,concat_global,global,110,0.5584461593784962,0.2,0.8,0.8034545454545455,0.04098148351990587,0.3319393939393939,0.01006060606060606,0.6579999999999999,0.0,0.35842424242424237
regional_doy_climatology,concat_global,global,110,0.5584461593784962,0.1,0.9,0.9058787878787878,0.1199954015422512,0.2753333333333333,0.012242424242424242,0.7124242424242424,0.0,0.5055757575757576
regional_doy_climatology,concat_global,global,110,0.5584461593784962,0.05,0.95,0.9666060606060605,0.27642447403235504,0.18745454545454546,0.014606060606060607,0.797939393939394,0.0,0.7861818181818182
regional_doy_climatology,fixed_source_fusion_global,global,110,0.8044180184570751,0.2,0.8,0.8005454545454546,0.08871452608135194,0.22399999999999995,0.0048484848484848485,0.7711515151515151,0.0,0.6884242424242424
regional_doy_climatology,fixed_source_fusion_global,global,110,0.8044180184570751,0.1,0.9,0.9035151515151515,0.8445908017750302,0.07103030303030303,0.00406060606060606,0.924909090909091,0.0,1.1466666666666667
regional_doy_climatology,fixed_source_fusion_global,global,110,0.8044180184570751,0.05,0.95,0.9632121212121213,1.4520154377866654,0.0011515151515151514,0.00012121212121212121,0.9987272727272728,0.0,1.366060606060606
regional_doy_climatology,reliability_fusion_global,global,110,0.9848898024477644,0.2,0.8,0.8029696969696969,0.041987279576490864,0.4316969696969697,0.004424242424242424,0.5638787878787878,0.0,0.0806060606060606
regional_doy_climatology,reliability_fusion_global,global,110,0.9848898024477644,0.1,0.9,0.9123030303030301,0.3148407128022908,0.2750909090909091,0.006909090909090909,0.718,0.0,0.5418787878787878
regional_doy_climatology,reliability_fusion_global,global,110,0.9848898024477644,0.05,0.95,0.9623636363636363,0.48306956152167363,0.1816969696969697,0.008787878787878787,0.8095151515151515,0.0,0.8006060606060607
regional_doy_climatology,reliability_fusion_conflict_stratified,conflict_stratified,110,0.9848898024477644,0.2,0.8,0.825090909090909,0.14867264837556177,0.367030303030303,0.020727272727272726,0.6122424242424243,0.0,0.23703030303030304
regional_doy_climatology,reliability_fusion_conflict_stratified,conflict_stratified,110,0.9848898024477644,0.1,0.9,0.9258181818181819,0.1743604963738099,0.3483636363636364,0.011515151515151513,0.6401212121212122,0.0,0.3073939393939394
regional_doy_climatology,reliability_fusion_conflict_stratified,conflict_stratified,110,0.9848898024477644,0.05,0.95,0.9444242424242426,0.1801620572517521,0.34818181818181815,0.007515151515151516,0.6443030303030303,0.0,0.328060606060606
spatial_knn_ridge,concat_global,global,110,0.9620097602822767,0.2,0.8,0.7993333333333332,0.011498448816092353,0.3304242424242424,0.11593939393939394,0.5536363636363636,0.0,0.2447878787878788
spatial_knn_ridge,concat_global,global,110,0.9620097602822767,0.1,0.9,0.9135757575757577,0.02591348221596571,0.25375757575757574,0.07545454545454545,0.6707878787878788,0.0,0.46654545454545454
spatial_knn_ridge,concat_global,global,110,0.9620097602822767,0.05,0.95,0.9637575757575757,0.03501769822500086,0.22169696969696967,0.05145454545454546,0.7268484848484849,0.0,0.5843636363636364
spatial_knn_ridge,fixed_source_fusion_global,global,110,0.8485604643203482,0.2,0.8,0.8034545454545455,0.03364685374158956,0.16375757575757574,0.09975757575757577,0.7364848484848485,0.0,0.6783030303030303
spatial_knn_ridge,fixed_source_fusion_global,global,110,0.8485604643203482,0.1,0.9,0.9107878787878788,0.04805224270148184,0.09781818181818183,0.07084848484848486,0.8313333333333333,0.0,0.9326666666666665
spatial_knn_ridge,fixed_source_fusion_global,global,110,0.8485604643203482,0.05,0.95,0.964969696969697,0.07222300107113848,0.020848484848484845,0.03563636363636364,0.9435151515151515,0.0,1.222909090909091
spatial_knn_ridge,reliability_fusion_global,global,110,0.9312221435805775,0.2,0.8,0.8078787878787879,0.02261123105015813,0.26690909090909093,0.10024242424242426,0.6328484848484848,0.0,0.37066666666666664
spatial_knn_ridge,reliability_fusion_global,global,110,0.9312221435805775,0.1,0.9,0.9100606060606062,0.03459487030450464,0.2302424242424243,0.043515151515151514,0.7262424242424242,0.0,0.572
spatial_knn_ridge,reliability_fusion_global,global,110,0.9312221435805775,0.05,0.95,0.9688484848484847,0.05148272546390911,0.13175757575757577,0.08284848484848487,0.7853939393939394,0.0,0.8176363636363636
spatial_knn_ridge,reliability_fusion_conflict_stratified,conflict_stratified,110,0.9312221435805775,0.2,0.8,0.820121212121212,0.02247620840117053,0.3026060606060606,0.08830303030303031,0.6090909090909091,0.018976549230621115,0.3212121212121212
spatial_knn_ridge,reliability_fusion_conflict_stratified,conflict_stratified,110,0.9312221435805775,0.1,0.9,0.9235151515151514,0.031936313508892686,0.24181818181818177,0.08806060606060608,0.6701212121212121,0.0025927277343686015,0.4747878787878788
spatial_knn_ridge,reliability_fusion_conflict_stratified,conflict_stratified,110,0.9312221435805775,0.05,0.95,0.9459999999999998,0.035222069141238786,0.2202424242424242,0.08478787878787879,0.694969696969697,0.0012908017908017909,0.5282424242424242
stgcn_diffusion,concat_global,global,110,0.6470329137425468,0.2,0.8,0.802,0.013469772522078646,0.0,0.0816969696969697,0.9183030303030303,0.0,0.6179393939393939
stgcn_diffusion,concat_global,global,110,0.6470329137425468,0.1,0.9,0.9040000000000001,0.0348788254886293,0.0,0.0014545454545454547,0.9985454545454545,0.0,0.7706666666666666
stgcn_diffusion,concat_global,global,110,0.6470329137425468,0.05,0.95,0.9656969696969696,0.13623446254581292,0.0,0.0,1.0,0.0,0.7795151515151516
stgcn_diffusion,fixed_source_fusion_global,global,110,0.7155516641854069,0.2,0.8,0.7984848484848486,0.016017990147613584,0.0,0.008181818181818182,0.9918181818181817,0.0,0.7665454545454545
stgcn_diffusion,fixed_source_fusion_global,global,110,0.7155516641854069,0.1,0.9,0.9124848484848485,0.03313273258539162,0.0,0.0,1.0,0.0,0.7852727272727272
stgcn_diffusion,fixed_source_fusion_global,global,110,0.7155516641854069,0.05,0.95,0.9647878787878787,0.10691045533227557,0.0,0.0,1.0,0.0,0.793030303030303
stgcn_diffusion,reliability_fusion_global,global,110,0.6938140116666858,0.2,0.8,0.8011515151515153,0.01702671103513307,0.0,0.004606060606060606,0.9953939393939394,0.0,0.7779393939393939
stgcn_diffusion,reliability_fusion_global,global,110,0.6938140116666858,0.1,0.9,0.9092727272727273,0.03437927155644961,0.0,0.0,1.0,0.0,0.7699393939393939
stgcn_diffusion,reliability_fusion_global,global,110,0.6938140116666858,0.05,0.95,0.9673939393939393,0.11905455355948924,0.0,0.0,1.0,0.0,0.7713939393939394
stgcn_diffusion,reliability_fusion_conflict_stratified,conflict_stratified,110,0.6938140116666858,0.2,0.8,0.8196363636363636,0.023473638798487025,0.002181818181818182,0.11545454545454545,0.8823636363636363,0.0,0.5555151515151515
stgcn_diffusion,reliability_fusion_conflict_stratified,conflict_stratified,110,0.6938140116666858,0.1,0.9,0.9253333333333335,0.06688902445426757,0.0,0.05981818181818182,0.940181818181818,0.0,0.6744848484848485
stgcn_diffusion,reliability_fusion_conflict_stratified,conflict_stratified,110,0.6938140116666858,0.05,0.95,0.9464242424242423,0.08317727599508634,6.0606060606060605e-05,0.0403030303030303,0.9596363636363636,0.0,0.7098787878787878
